"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"Argiope_amoena"	0.303175318052977	0.696824681947023	4	0.0265	0.005	"spider"	2
"Diaea_subdola"	0.534602704408252	0.465397295591748	4	0.0265	0.0173	"spider"	1
"Ebrechtella_tricuspidata"	0.240871498763918	0.759128501236082	28	0.1854	0.2184	"spider"	7
"Leucauge_blanda"	0.565972215045064	0.434027784954936	20	0.1325	0.1552	"spider"	4
"Neriene_radiata"	0.709735201376548	0.290264798623452	2	0.0132	0.0132	"spider"	1
"Oxyopes_sertatus"	0.268113912526037	0.731886087473963	82	0.543	0.6046	"spider"	63
"Oxytate_striatipes"	0.372103707056585	0.627896292943415	14	0.0927	0.0906	"spider"	1
"Pardosa_sp."	0.223620815762615	0.776379184237385	5	0.0331	0.02	"spider"	2
"Tetragnatha_caudicula"	0.513297700747238	0.486702299252762	23	0.1523	0.1215	"spider"	26
"Tetragnatha_praedonia"	0.333451107044708	0.666548892955292	6	0.0397	0.0211	"spider"	4
"Xysticus_sp."	0.29107187170297	0.70892812829703	47	0.3113	0.3191	"spider"	11
"H_0001_Hymenoptera_Formicidae"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0005_Diptera_Diptera"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0011_Diptera_Diptera"	0.127684718021978	0.872315281978022	4	0.0265	0.015	"prey"	7
"H_0015_Diptera_Diptera"	0.257499761760586	0.742500238239414	3	0.0199	0.0022	"prey"	5
"H_0017_Hemiptera_Bothrogonia"	0.162668124906048	0.837331875093952	1	0.0066	0	"prey"	6
"H_0022_Hymenoptera_Nylanderia"	0	1	1	0.0066	0	"prey"	1
"H_0024_Diptera_Diptera"	0.0342297655955907	0.965770234404409	7	0.0464	0.0016	"prey"	34
"H_0028_Diptera_Exorista"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0031_Diptera_Diptera"	0.116201302201137	0.883798697798863	5	0.0331	0.0187	"prey"	7
"H_0034_Hymenoptera_Pteromalus.puparum"	0	1	1	0.0066	0	"prey"	1
"H_0035_Hemiptera_Aphididae"	0.0785212201108687	0.921478779889131	3	0.0199	0	"prey"	6
"H_0038_Coleoptera_Propylea"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0041_Diptera_Culex"	0.107319017579209	0.892680982420791	3	0.0199	0.0045	"prey"	6
"H_0042_Diptera_Chironomus"	0.0988440272590477	0.901155972740952	3	0.0199	0.026	"prey"	5
"H_0044_Diptera_Diptera"	0.394241979478049	0.605758020521951	1	0.0066	0	"prey"	1
"H_0046_Collembola_Homidia"	0.0778082819800667	0.922191718019933	4	0.0265	0	"prey"	16
"H_0069_Hymenoptera_Formicidae"	0	1	1	0.0066	0	"prey"	1
"H_0070_Diptera_Diptera"	0.394241979478049	0.605758020521951	1	0.0066	0	"prey"	1
"H_0071_Hemiptera_Orius"	0.394241979478049	0.605758020521951	1	0.0066	0	"prey"	1
"H_0074_Diptera_Scaptomyza"	0.103982523386919	0.896017476613081	4	0.0265	0.0233	"prey"	7
"H_0075_Hemiptera_Sitobion.avenae"	0.0477346819467295	0.952265318053271	4	0.0265	0.0373	"prey"	7
"H_0076_Coleoptera_Coccinella"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0087_Diptera_Diptera"	0.196089231462784	0.803910768537216	3	0.0199	0.0127	"prey"	5
"H_0092_Diptera_Rhopalomyia"	0.394241979478049	0.605758020521951	1	0.0066	0	"prey"	1
"H_0093_Hymenoptera_Trichogramma"	0	1	1	0.0066	0	"prey"	1
"H_0097_Diptera_Diptera"	0.277905429442664	0.722094570557336	1	0.0066	0	"prey"	1
"H_0106_Hemiptera_Rhopalosiphum.padi"	0	1	1	0.0066	0	"prey"	1
"H_0109_Diptera_Scaptomyza"	0.14616533223948	0.85383466776052	2	0.0132	0	"prey"	3
"H_0113_Diptera_Limoniidae"	0.310276535637509	0.689723464362491	5	0.0331	0.0024	"prey"	25
"H_0118_Orthoptera_Tettigoniidae"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0128_Hemiptera_Cicadellidae"	0.0604425127572084	0.939557487242792	2	0.0132	0.0095	"prey"	2
"H_0130_Diptera_Diptera"	0.394241979478049	0.605758020521951	1	0.0066	0	"prey"	1
"H_0135_Coleoptera_Chrysomelidae"	0	1	1	0.0066	0	"prey"	1
"H_0140_Orthoptera_Polionemobius"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0159_Diptera_Sciaridae"	0.394241979478049	0.605758020521951	1	0.0066	0	"prey"	1
"H_0165_Diptera_Bradysia"	0.269477271782537	0.730522728217463	3	0.0199	0.009	"prey"	4
"H_0179_Hemiptera_Pseudoregma.panicola"	0	1	1	0.0066	0	"prey"	1
"H_0180_Hemiptera_Bemisia"	0	1	1	0.0066	0	"prey"	1
"H_0187_Diptera_Diptera"	0.00553582584041508	0.994464174159585	9	0.0596	0.0284	"prey"	38
"H_0193_Diptera_Pipunculidae"	0.256175381194859	0.743824618805141	1	0.0066	0	"prey"	1
"H_0197_Diptera_Sciara"	0.409328153407995	0.590671846592005	3	0.0199	0.0226	"prey"	3
"H_0199_Hemiptera_Cicadellidae"	0.0667183991214369	0.933281600878563	1	0.0066	0	"prey"	2
"H_0201_Diptera_Trichocera"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0205_Diptera_Diptera"	0	1	1	0.0066	0	"prey"	1
"H_0209_Diptera_Drosophilidae"	0.0667183991214369	0.933281600878563	1	0.0066	0	"prey"	2
"H_0215_Hemiptera_Cicadellidae"	0.0559881861268705	0.944011813873129	2	0.0132	0	"prey"	3
"H_0216_Hymenoptera_Hymenoptera"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0223_Hemiptera_Cicadellidae"	0.324531327333761	0.675468672666239	2	0.0132	0.0045	"prey"	2
"H_0226_Hemiptera_Aphididae"	0.0758703732623302	0.92412962673767	2	0.0132	0	"prey"	7
"H_0227_Hemiptera_Cicadellidae"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
"H_0232_Coleoptera_Chrysomelidae"	0	1	1	0.0066	0	"prey"	1
"H_0236_Diptera_Diptera"	0	1	1	0.0066	0	"prey"	1
"H_0257_Diptera_Diptera"	0.149733020260483	0.850266979739517	2	0.0132	0.02	"prey"	2
"H_0268_Hemiptera_Aphis"	0.181649699333385	0.818350300666615	4	0.0265	0.03	"prey"	8
"H_0271_Diptera_Diptera"	0	1	1	0.0066	0	"prey"	1
"H_0276_Diptera_Diptera"	0.0474386818781609	0.952561318121839	5	0.0331	0.0425	"prey"	7
"H_0278_Diptera_Sciara"	0.104613853491462	0.895386146508538	3	0.0199	0.1178	"prey"	3
"H_0279_Hymenoptera_Aphidius"	0.284564611343697	0.715435388656303	2	0.0132	0.011	"prey"	2
"H_0280_Hemiptera_Delphacidae"	0.245967917979803	0.754032082020197	3	0.0199	0.0085	"prey"	4
"H_0287_Diptera_Mycetophilidae"	0	1	1	0.0066	0	"prey"	1
"H_0289_Diptera_Diptera"	0.0829730606623823	0.917026939337618	5	0.0331	0.0058	"prey"	12
"H_0292_Diptera_Ephydridae"	0.256175381194859	0.743824618805141	1	0.0066	0	"prey"	1
"H_0298_Diptera_Megaselia"	0.0604425127572084	0.939557487242792	2	0.0132	0.0095	"prey"	2
"H_0301_Diptera_Diptera"	0	1	1	0.0066	0	"prey"	1
"H_0309_Hemiptera_Geisha.distinctissima"	0.143993696519266	0.856006303480734	1	0.0066	0	"prey"	1
