"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"Allagelena_opulenta"	0.0167470213690409	0.983252978630959	2	0.0074	7e-04	"spider"	1
"Araneus_abscissus"	0.458967687767956	0.541032312232044	2	0.0074	3e-04	"spider"	1
"Argiope_amoena"	0.719006271704112	0.280993728295888	5	0.0185	0.0155	"spider"	2
"Argyrodes_bonadea"	0.639081327941837	0.360918672058163	3	0.0111	0.0078	"spider"	1
"Cheiracanthium_japonicum"	0.176452134220794	0.823547865779205	3	0.0111	0.008	"spider"	2
"Clubiona_sp."	0.272003243510321	0.727996756489679	7	0.0258	0.0196	"spider"	2
"Ebrechtella_tricuspidata"	0.248243042453355	0.751756957546645	105	0.3875	0.382	"spider"	16
"Hypsosinga_pygmaea"	0.573671843727257	0.426328156272743	1	0.0037	0	"spider"	1
"Larinia_argiopiformis"	0.399382033116921	0.600617966883079	12	0.0443	0.0364	"spider"	3
"Linyphiidae_sp.5"	0	1	1	0.0037	0	"spider"	1
"Lycosidae_sp.1"	0.683277611019366	0.316722388980634	2	0.0074	0	"spider"	1
"Mendoza_elongata"	0.192336826075434	0.807663173924566	10	0.0369	0.0094	"spider"	9
"Neoscona_adianta"	0.495528168228208	0.504471831771792	1	0.0037	0	"spider"	1
"Nephila_clavata"	0.362105550832543	0.637894449167457	8	0.0295	0.0156	"spider"	7
"Neriene_radiata"	1	0	2	0.0074	0	"spider"	1
"Oxyopes_sertatus"	0.186360541351997	0.813639458648003	122	0.4502	0.434	"spider"	75
"Oxytate_striatipes"	0.433149420733267	0.566850579266734	20	0.0738	0.0825	"spider"	1
"Pardosa_sp."	0.20250931893538	0.79749068106462	11	0.0406	0.0359	"spider"	2
"Salticidae_sp.2"	0.718801690492632	0.281198309507368	8	0.0295	0.0262	"spider"	3
"Salticidae_sp.6"	0	1	1	0.0037	0	"spider"	1
"Tetragnatha_caudicula"	0.253014172217047	0.746985827782953	35	0.1292	0.1266	"spider"	28
"Tetragnatha_praedonia"	0.300929972845186	0.699070027154814	7	0.0258	0.0104	"spider"	5
"Thomisus_labefactus"	0.0167470213690409	0.983252978630959	2	0.0074	7e-04	"spider"	1
"Xysticus_sp."	0.324071312543155	0.675928687456845	84	0.31	0.3249	"spider"	15
"H_0001_Hymenoptera_Formicidae"	0.205738839771062	0.794261160228938	3	0.0111	0.0095	"prey"	4
"H_0011_Diptera_Diptera"	0.0422130688036041	0.957786931196396	3	0.0111	0	"prey"	7
"H_0015_Diptera_Diptera"	0.178158685177272	0.821841314822728	2	0.0074	0	"prey"	3
"H_0021_Dermaptera_Anisolabididae"	0.145370538047883	0.854629461952117	1	0.0037	0	"prey"	1
"H_0022_Hymenoptera_Nylanderia"	0.116462802953899	0.883537197046101	4	0.0148	0.0474	"prey"	4
"H_0023_Diptera_Diptera"	0.0883654134635063	0.911634586536494	1	0.0037	0	"prey"	1
"H_0031_Diptera_Diptera"	0.175413600257026	0.824586399742974	3	0.0111	0.0119	"prey"	6
"H_0035_Hemiptera_Aphididae"	0.273430082756724	0.726569917243276	1	0.0037	0	"prey"	1
"H_0036_Diptera_Chironomus"	0.0769456960642343	0.923054303935766	12	0.0443	0.0373	"prey"	57
"H_0039_Blattodea_Blattella.bisignata"	0.461510834391764	0.538489165608236	2	0.0074	0.0028	"prey"	2
"H_0040_Lepidoptera_Lepidoptera"	0.0361877439708831	0.963812256029117	4	0.0148	0	"prey"	26
"H_0041_Diptera_Culex"	0.0539072268036341	0.946092773196366	2	0.0074	0	"prey"	5
"H_0042_Diptera_Chironomus"	0.077607990715742	0.922392009284258	15	0.0554	0.019	"prey"	96
"H_0043_Orthoptera_Conocephalus"	0.0645327872239583	0.935467212776042	2	0.0074	0	"prey"	3
"H_0044_Diptera_Diptera"	0.196759400405052	0.803240599594948	4	0.0148	0.0194	"prey"	5
"H_0046_Collembola_Homidia"	0.0337779684892232	0.966222031510777	10	0.0369	0.0026	"prey"	66
"H_0048_Hemiptera_Tropidocephala"	0.726569917243277	0.273430082756723	1	0.0037	0	"prey"	1
"H_0052_Diptera_Drosophila"	0.646720219253834	0.353279780746166	1	0.0037	0	"prey"	1
"H_0063_Diptera_Diptera"	0.0883654134635063	0.911634586536494	1	0.0037	0	"prey"	1
"H_0065_Diptera_Chironomidae"	0.155390489252367	0.844609510747633	3	0.0111	0.0027	"prey"	4
"H_0066_Diptera_Chironomus"	0.0407218606074762	0.959278139392524	6	0.0221	0.0045	"prey"	27
"H_0075_Hemiptera_Sitobion.avenae"	0.0362187443210857	0.963781255678914	6	0.0221	0.0064	"prey"	25
"H_0079_Hemiptera_Nysius"	0.0325888325202177	0.967411167479782	2	0.0074	0	"prey"	3
"H_0083_Lepidoptera_Cupido.argiades"	0.0883654134635063	0.911634586536494	1	0.0037	0	"prey"	1
"H_0087_Diptera_Diptera"	0.119892879121451	0.880107120878549	4	0.0148	0.0153	"prey"	8
"H_0090_Diptera_Coboldia"	0.163377321933548	0.836622678066452	2	0.0074	0	"prey"	3
"H_0092_Diptera_Rhopalomyia"	0.145370538047883	0.854629461952117	1	0.0037	0	"prey"	1
"H_0093_Hymenoptera_Trichogramma"	0.169428440757132	0.830571559242868	1	0.0037	0	"prey"	2
"H_0103_Orthoptera_Trigonidium"	0.0800418742504155	0.919958125749585	4	0.0148	0.0329	"prey"	6
"H_0105_Diptera_Sciaridae"	0.0769783312164727	0.923021668783527	1	0.0037	0	"prey"	2
"H_0113_Diptera_Limoniidae"	0.145370538047883	0.854629461952117	1	0.0037	0	"prey"	1
"H_0118_Orthoptera_Tettigoniidae"	0.140911086460323	0.859088913539677	5	0.0185	0.0281	"prey"	7
"H_0125_Hemiptera_Cicadellidae"	0.0367638709192017	0.963236129080798	3	0.0111	0	"prey"	8
"H_0129_Diptera_Cecidomyiidae"	0.23462843221093	0.76537156778907	6	0.0221	0.0338	"prey"	10
"H_0130_Diptera_Diptera"	0.143034701654004	0.856965298345996	2	0.0074	0.0154	"prey"	2
"H_0131_Collembola_Collembola"	0.62670986350289	0.37329013649711	1	0.0037	0	"prey"	1
"H_0132_Hemiptera_Cicadellidae"	0.222641360701215	0.777358639298785	2	0.0074	0	"prey"	7
"H_0137_Diptera_Austrosciara"	0.0298200947952393	0.970179905204761	2	0.0074	0.0084	"prey"	2
"H_0139_Hymenoptera_Formicidae"	0.107105932671247	0.892894067328753	4	0.0148	0.0045	"prey"	8
"H_0140_Orthoptera_Polionemobius"	0.0411727754924399	0.95882722450756	3	0.0111	0.0104	"prey"	4
"H_0141_Diptera_Cecidomyiidae"	0.0298200947952393	0.970179905204761	2	0.0074	0.0084	"prey"	2
"H_0143_Diptera_Diptera"	0	1	1	0.0037	0	"prey"	1
"H_0146_Lepidoptera_Lepidoptera"	0.0802680599250712	0.919731940074929	3	0.0111	0.0104	"prey"	5
"H_0147_Diptera_Cecidomyiidae"	0.0968096468836746	0.903190353116325	2	0.0074	0.0155	"prey"	2
"H_0150_Diptera_Gymnopternus"	0.491050063412499	0.508949936587501	1	0.0037	0	"prey"	1
"H_0155_Hemiptera_Hemiptera"	0.229068630347611	0.770931369652389	1	0.0037	0	"prey"	2
"H_0157_Hemiptera_Aphrophora"	0.0883654134635063	0.911634586536494	1	0.0037	0	"prey"	1
"H_0160_Orthoptera_Atractomorpha"	0	1	1	0.0037	0	"prey"	1
"H_0174_Diptera_Diptera"	0.353684086628032	0.646315913371968	2	0.0074	0.002	"prey"	2
"H_0178_Diptera_Drosophila"	0.672160219365792	0.327839780634208	2	0.0074	0.0011	"prey"	2
"H_0180_Hemiptera_Bemisia"	0.14920112715733	0.85079887284267	2	0.0074	0	"prey"	4
"H_0181_Diptera_Sciaridae"	0.23443319589377	0.76556680410623	2	0.0074	0	"prey"	3
