hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0767_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0799_Hemiptera_Aphididae	Aphididae	herbivorous	9	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
H_0802_Hemiptera_Aphididae	Aphididae	herbivorous	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
H_0804_Hemiptera_Limassolla	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0826_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0852_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0853_Hemiptera_Chaitophorus	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0906_Coleoptera_Chrysolina.aurichalcea	Chrysomelidae	herbivorous	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0936_Hemiptera_Corythucha.marmorata	Tingidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0960_Hemiptera_Aphididae	Aphididae	herbivorous	75	4	4	17	0	0	1	1	16	0	0	1	1	1	1	1	1
H_0995_Lepidoptera_Spodoptera	Noctuidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1038_Lepidoptera_Pseudozizeeria.maha	Lycaenidae	herbivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_1066_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
