# v2.0.0
# ./Infomap prey.id.prey.matrix.agg.7.txt_adj.txt . --clu --ftree
# started at 2022-01-24 14:04:28
# completed in 0.2733 s
# partitioned into 2 levels with 752 top modules
# codelength 5.52305 bits
# relative codelength savings 11.5758%
# module level 1
# node_id module flow
19 1 0.136643
171 1 0.0163767
75 1 0.0143296
67 1 0.0122825
389 1 0.0087001
231 1 0.00460594
89 1 0.00409417
258 1 0.0035824
249 1 0.0035824
252 1 0.0035824
551 1 0.00307062
317 1 0.00307062
335 1 0.00255885
377 1 0.00255885
448 1 0.00255885
444 1 0.00255885
204 1 0.00204708
617 1 0.00204708
473 1 0.00204708
511 1 0.00153531
372 1 0.00153531
97 1 0.00102354
791 1 0.00102354
772 1 0.00102354
631 1 0.00102354
487 1 0.00102354
337 1 0.00102354
355 1 0.00102354
387 1 0.00102354
442 1 0.000511771
394 1 0.000511771
354 1 0.000511771
478 1 0.000511771
320 1 0.000511771
493 1 0.000511771
503 1 0.000511771
319 1 0.000511771
512 1 0.000511771
513 1 0.000511771
520 1 0.000511771
523 1 0.000511771
527 1 0.000511771
531 1 0.000511771
532 1 0.000511771
534 1 0.000511771
535 1 0.000511771
262 1 0.000511771
581 1 0.000511771
239 1 0.000511771
618 1 0.000511771
624 1 0.000511771
214 1 0.000511771
632 1 0.000511771
655 1 0.000511771
657 1 0.000511771
666 1 0.000511771
702 1 0.000511771
705 1 0.000511771
713 1 0.000511771
715 1 0.000511771
727 1 0.000511771
731 1 0.000511771
211 1 0.000511771
779 1 0.000511771
780 1 0.000511771
210 1 0.000511771
792 1 0.000511771
795 1 0.000511771
796 1 0.000511771
804 1 0.000511771
805 1 0.000511771
836 1 0.000511771
838 1 0.000511771
850 1 0.000511771
856 1 0.000511771
872 1 0.000511771
874 1 0.000511771
911 1 0.000511771
915 1 0.000511771
917 1 0.000511771
937 1 0.000511771
940 1 0.000511771
945 1 0.000511771
968 1 0.000511771
32 2 0.105425
129 2 0.0102354
167 2 0.00767656
92 2 0.00562948
52 2 0.00511771
162 2 0.00409417
333 2 0.00409417
192 2 0.00409417
380 2 0.00255885
189 2 0.00255885
371 2 0.00204708
163 2 0.00204708
174 2 0.00204708
508 2 0.00153531
816 2 0.00102354
746 2 0.00102354
656 2 0.00102354
515 2 0.00102354
286 2 0.00102354
193 2 0.00102354
257 2 0.00102354
254 2 0.00102354
201 2 0.000511771
218 2 0.000511771
221 2 0.000511771
225 2 0.000511771
199 2 0.000511771
256 2 0.000511771
196 2 0.000511771
266 2 0.000511771
268 2 0.000511771
271 2 0.000511771
281 2 0.000511771
179 2 0.000511771
287 2 0.000511771
295 2 0.000511771
164 2 0.000511771
334 2 0.000511771
344 2 0.000511771
345 2 0.000511771
351 2 0.000511771
358 2 0.000511771
158 2 0.000511771
