"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"Agelena_silvatica"	0.814768226093717	0.185231773906283	3	0.0142	0.0094	"spider"	1
"Araneidae_sp.1"	0.574231147525835	0.425768852474165	17	0.0806	0.1325	"spider"	14
"Araneus_abscissus"	0.805435784785543	0.194564215214457	7	0.0332	0.0382	"spider"	6
"Argiope_bruennichi"	0.380281890129776	0.619718109870224	12	0.0569	0.0283	"spider"	12
"Ariamnes_cylindrogaster"	0.809448587573227	0.190551412426773	1	0.0047	0	"spider"	1
"Cheiracanthium_japonicum"	0.618897175146453	0.381102824853547	1	0.0047	0	"spider"	1
"Clubiona_sp."	0	1	1	0.0047	0	"spider"	1
"Cyclosa_atrata"	0.237794350292906	0.762205649707093	1	0.0047	0	"spider"	1
"Cyclosa_sedeculata"	0.424925451313929	0.575074548686071	19	0.09	0.0789	"spider"	15
"Diaea_subdola"	0.465054554418669	0.534945445581331	1	0.0047	0	"spider"	1
"Ebrechtella_tricuspidata"	0.517125601219349	0.482874398780651	35	0.1659	0.2345	"spider"	26
"Hypsosinga_pygmaea"	0.36120412128911	0.63879587871089	4	0.019	0.0135	"spider"	3
"Leucauge_blanda"	0.462662915634935	0.537337084365065	21	0.0995	0.1261	"spider"	11
"Leucauge_celebesiana"	1	0	3	0.0142	1e-04	"spider"	1
"Linyphiidae_sp.4"	0.221128182357796	0.778871817642204	1	0.0047	0	"spider"	1
"Mendoza_elongata"	0.471924092627091	0.52807590737291	5	0.0237	0.0374	"spider"	3
"Mimetus_sp."	0.484926854773921	0.515073145226079	2	0.0095	0.0022	"spider"	1
"Neoscona_adianta"	0.394352873098225	0.605647126901774	5	0.0237	0.0088	"spider"	3
"Neoscona_mellotteei"	0.62004808266825	0.37995191733175	18	0.0853	0.0987	"spider"	14
"Neoscona_scylloides"	0.392113974482062	0.607886025517938	50	0.237	0.3127	"spider"	45
"Neriene_radiata"	0.221128182357796	0.778871817642204	1	0.0047	0	"spider"	1
"Oxyopes_sertatus"	0.617820808610174	0.382179191389826	35	0.1659	0.2368	"spider"	22
"Pachygnatha_tenera"	1	0	1	0.0047	0	"spider"	1
"Philodromus_sp."	0.193097740838844	0.806902259161156	2	0.0095	3e-04	"spider"	1
"Salticidae_sp.1"	0.562177815933784	0.437822184066216	6	0.0284	0.0353	"spider"	3
"Tetragnatha_caudicula"	0.509827170547595	0.490172829452405	13	0.0616	0.0606	"spider"	10
"Tetragnatha_praedonia"	0.56689184960272	0.43310815039728	5	0.0237	0.024	"spider"	2
"Tetragnatha_squamata"	0.743110794369038	0.256889205630962	3	0.0142	0.0104	"spider"	2
"Theridiidae_sp."	0	1	2	0.0095	0.0029	"spider"	1
"Thomisus_labefactus"	0.531182217298481	0.468817782701519	15	0.0711	0.0869	"spider"	12
"Xysticus_sp."	0.699729788064855	0.300270211935145	13	0.0616	0.0816	"spider"	9
"H_0002_Orthoptera_Conocephalus.maculatus"	0.757040323768283	0.242959676231717	1	0.0047	0	"prey"	1
"H_0004_Orthoptera_Acrididae"	0.148534360661617	0.851465639338383	1	0.0047	0	"prey"	1
"H_0005_Diptera_Diptera"	0.226742360486847	0.773257639513153	1	0.0047	0	"prey"	1
"H_0012_Diptera_Diptera"	0.148534360661617	0.851465639338383	1	0.0047	0	"prey"	1
"H_0016_Hemiptera_Adelphocoris"	0.148534360661617	0.851465639338383	1	0.0047	0	"prey"	1
"H_0018_Hemiptera_Cavariella"	0.192542263764791	0.807457736235209	2	0.0095	0.0055	"prey"	2
"H_0022_Hymenoptera_Nylanderia"	0.272104983695333	0.727895016304667	6	0.0284	0.0108	"prey"	13
"H_0023_Diptera_Diptera"	0.184030787840683	0.815969212159317	11	0.0521	0.0998	"prey"	22
"H_0030_Diptera_Chironomidae"	0.232817084827834	0.767182915172166	3	0.0142	0.0119	"prey"	4
"H_0032_Diptera_Diptera"	0	1	1	0.0047	0	"prey"	1
"H_0035_Hemiptera_Aphididae"	0.124938257237091	0.875061742762909	5	0.0237	0.036	"prey"	7
"H_0036_Diptera_Chironomus"	0.0864351590033368	0.913564840996663	2	0.0095	0.0065	"prey"	2
"H_0037_Hymenoptera_Formicidae"	0.456490896610536	0.543509103389464	1	0.0047	0	"prey"	2
"H_0043_Orthoptera_Conocephalus"	0.611505164846677	0.388494835153323	3	0.0142	0.0129	"prey"	3
"H_0046_Collembola_Homidia"	0.540128534041966	0.459871465958034	1	0.0047	0	"prey"	1
"H_0047_Diptera_Diptera"	0.126176810071017	0.873823189928983	1	0.0047	0	"prey"	1
"H_0048_Hemiptera_Tropidocephala"	0.226742360486847	0.773257639513153	1	0.0047	0	"prey"	1
"H_0049_Coleoptera_Hypera"	0.148534360661617	0.851465639338383	1	0.0047	0	"prey"	1
"H_0055_Diptera_Homoneura"	0.466331719356136	0.533668280643864	2	0.0095	0.0092	"prey"	2
"H_0071_Hemiptera_Orius"	0.126176810071017	0.873823189928983	1	0.0047	0	"prey"	1
"H_0074_Diptera_Scaptomyza"	0.0962759817489376	0.903724018251062	1	0.0047	0	"prey"	2
"H_0075_Hemiptera_Sitobion.avenae"	0.062952513200204	0.937047486799796	6	0.0284	0.1163	"prey"	8
"H_0080_Diptera_Megaselia"	0.126176810071017	0.873823189928983	1	0.0047	0	"prey"	1
"H_0082_Diptera_Chironomidae"	0.126176810071017	0.873823189928983	1	0.0047	0	"prey"	1
"H_0084_Diptera_Diptera"	0.126176810071017	0.873823189928983	1	0.0047	0	"prey"	1
"H_0090_Diptera_Coboldia"	0.254799759593683	0.745200240406317	4	0.019	0.0477	"prey"	5
"H_0091_Hemiptera_Therioaphis.trifolii"	0.260973999887681	0.739026000112319	11	0.0521	0.0685	"prey"	17
"H_0095_Orthoptera_Gampsocleis"	0.148534360661617	0.851465639338383	1	0.0047	0	"prey"	1
"H_0099_Lepidoptera_Lycaena"	0.126176810071017	0.873823189928983	1	0.0047	0	"prey"	1
"H_0105_Diptera_Sciaridae"	0.306229639846274	0.693770360153726	9	0.0427	0.0826	"prey"	16
"H_0106_Hemiptera_Rhopalosiphum.padi"	0.0864351590033368	0.913564840996663	2	0.0095	0.0065	"prey"	2
