"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"Clubiona_sp."	0.188555355289627	0.811444644710373	6	0.0205	0.0038	"spider"	2
"Diaea_subdola"	0.420694897778203	0.579305102221797	16	0.0546	0.0561	"spider"	2
"Dolomedes_sp."	0.498922100366753	0.501077899633247	5	0.0171	0.0069	"spider"	2
"Ebrechtella_tricuspidata"	0.198075065613615	0.801924934386385	70	0.2389	0.1913	"spider"	20
"Hypsosinga_pygmaea"	0.0273508721391037	0.972649127860896	2	0.0068	1e-04	"spider"	1
"Larinia_argiopiformis"	0.508111131873013	0.491888868126987	8	0.0273	0.0248	"spider"	5
"Mendoza_elongata"	0.176087060741185	0.823912939258815	11	0.0375	0.0339	"spider"	3
"Neoscona_mellotteei"	0.211626000466979	0.788373999533021	5	0.0171	0.0051	"spider"	3
"Nephila_clavata"	0.524510352681808	0.475489647318192	9	0.0307	0.0293	"spider"	3
"Oxyopes_sertatus"	0.188563329628958	0.811436670371042	170	0.5802	0.6118	"spider"	178
"Pardosa_sp."	0.350120684553732	0.649879315446269	7	0.0239	0.0162	"spider"	2
"Salticidae_sp.1"	0.226331407276029	0.77366859272397	4	0.0137	0.0029	"spider"	1
"Sitticus_sp."	0.0202641761677779	0.979735823832222	1	0.0034	0	"spider"	1
"Tetragnatha_caudicula"	0.280204234130025	0.719795765869975	62	0.2116	0.187	"spider"	70
"Tetragnatha_praedonia"	0.253839379316449	0.746160620683551	21	0.0717	0.0642	"spider"	10
"Thomisus_labefactus"	0.290257096662492	0.709742903337508	13	0.0444	0.0377	"spider"	1
"Xysticus_sp."	0.175363069731267	0.824636930268734	103	0.3515	0.296	"spider"	23
"H_0001_Hymenoptera_Formicidae"	0.405224104489321	0.594775895510679	2	0.0068	0.0023	"prey"	2
"H_0002_Orthoptera_Conocephalus.maculatus"	0.0940971617670176	0.905902838232982	5	0.0171	0.0402	"prey"	6
"H_0011_Diptera_Diptera"	0.0630902218900818	0.936909778109918	11	0.0375	0.0169	"prey"	95
"H_0014_Hemiptera_Nysius"	0.0363528308712958	0.963647169128704	1	0.0034	0	"prey"	2
"H_0015_Diptera_Diptera"	0.261512736578956	0.738487263421044	3	0.0102	0.004	"prey"	4
"H_0021_Dermaptera_Anisolabididae"	0.147355128089278	0.852644871910722	1	0.0034	0	"prey"	1
"H_0022_Hymenoptera_Nylanderia"	0.0945507465840509	0.905449253415949	3	0.0102	0.0031	"prey"	9
"H_0024_Diptera_Diptera"	0.0430695352855819	0.956930464714418	6	0.0205	0.0034	"prey"	16
"H_0028_Diptera_Exorista"	0	1	1	0.0034	0	"prey"	1
"H_0031_Diptera_Diptera"	0.0185407630975929	0.981459236902407	4	0.0137	0	"prey"	23
"H_0032_Diptera_Diptera"	0.0812543470850926	0.918745652914907	2	0.0068	0.005	"prey"	2
"H_0036_Diptera_Chironomus"	0.0434597854979001	0.9565402145021	8	0.0273	0.0017	"prey"	32
"H_0040_Lepidoptera_Lepidoptera"	0.0237475817231263	0.976252418276874	2	0.0068	0	"prey"	3
"H_0041_Diptera_Culex"	0.0365615715210003	0.963438428479	8	0.0273	0.0015	"prey"	106
"H_0042_Diptera_Chironomus"	0.056819881408185	0.943180118591815	14	0.0478	0.0121	"prey"	137
"H_0043_Orthoptera_Conocephalus"	0.147355128089278	0.852644871910722	1	0.0034	0	"prey"	1
"H_0044_Diptera_Diptera"	0.0738434246724839	0.926156575327516	2	0.0068	0	"prey"	6
"H_0046_Collembola_Homidia"	0.0576222949888217	0.942377705011178	7	0.0239	0.0022	"prey"	58
"H_0050_Diptera_Diptera"	0.216252200795265	0.783747799204735	4	0.0137	0.0104	"prey"	6
"H_0052_Diptera_Drosophila"	0.135578103474417	0.864421896525583	3	0.0102	0	"prey"	5
"H_0065_Diptera_Chironomidae"	0.0589953729675086	0.941004627032491	5	0.0171	1e-04	"prey"	16
"H_0066_Diptera_Chironomus"	0.147596855960431	0.852403144039569	6	0.0205	0.0107	"prey"	12
"H_0070_Diptera_Diptera"	0.048909228945976	0.951090771054024	5	0.0171	0.0029	"prey"	14
"H_0073_Diptera_Cecidomyiidae"	0.0363528308712958	0.963647169128704	1	0.0034	0	"prey"	2
"H_0074_Diptera_Scaptomyza"	0	1	2	0.0068	0.0082	"prey"	2
"H_0075_Hemiptera_Sitobion.avenae"	0.0422573755488484	0.957742624451152	7	0.0239	9e-04	"prey"	39
"H_0076_Coleoptera_Coccinella"	0.175211099867882	0.824788900132118	2	0.0068	0	"prey"	4
"H_0077_Diptera_Pipunculidae"	0	1	1	0.0034	0	"prey"	1
"H_0078_Diptera_Mayetiola"	0.150535449447651	0.849464550552349	1	0.0034	0	"prey"	1
"H_0079_Hemiptera_Nysius"	0.197465013202038	0.802534986797962	1	0.0034	0	"prey"	1
"H_0081_Hymenoptera_Formicidae"	0	1	1	0.0034	0	"prey"	1
"H_0087_Diptera_Diptera"	0.0286370700157548	0.971362929984245	11	0.0375	0.0046	"prey"	111
"H_0092_Diptera_Rhopalomyia"	0.058804427143794	0.941195572856206	3	0.0102	0	"prey"	7
"H_0103_Orthoptera_Trigonidium"	0.0198813424154116	0.980118657584588	4	0.0137	0.0042	"prey"	11
"H_0105_Diptera_Sciaridae"	0.20516892815142	0.79483107184858	3	0.0102	0.009	"prey"	4
"H_0106_Hemiptera_Rhopalosiphum.padi"	0.0690246370345062	0.930975362965494	2	0.0068	0	"prey"	5
"H_0113_Diptera_Limoniidae"	0.1058217983935	0.8941782016065	6	0.0205	3e-04	"prey"	27
"H_0118_Orthoptera_Tettigoniidae"	0.0896651327049588	0.910334867295041	3	0.0102	0	"prey"	7
"H_0123_Lepidoptera_Lepidoptera"	0	1	1	0.0034	0	"prey"	1
"H_0125_Hemiptera_Cicadellidae"	0.0363528308712958	0.963647169128704	1	0.0034	0	"prey"	2
"H_0128_Hemiptera_Cicadellidae"	0.0422923100365649	0.957707689963435	2	0.0068	0	"prey"	3
"H_0129_Diptera_Cecidomyiidae"	0.0812543470850926	0.918745652914907	2	0.0068	0.005	"prey"	2
"H_0130_Diptera_Diptera"	0.126004830422524	0.873995169577476	6	0.0205	0.0521	"prey"	11
"H_0132_Hemiptera_Cicadellidae"	0.395244120633783	0.604755879366217	3	0.0102	0.0136	"prey"	3
"H_0136_Lepidoptera_Lepidoptera"	0	1	2	0.0068	0.0082	"prey"	2
"H_0140_Orthoptera_Polionemobius"	0.22338200865362	0.77661799134638	2	0.0068	0.0097	"prey"	2
"H_0143_Diptera_Diptera"	0.249523758765732	0.750476241234268	1	0.0034	0	"prey"	2
