V1	V2
Agelena_silvatica	1
Araneidae_sp.1	48
Araneidae_sp.2	3
Araneus_abscissus	15
Argiope_bruennichi	20
Ariamnes_cylindrogaster	2
Bathyphantes_sp.	1
Cheiracanthium_japonicum	5
Clubiona_sp.	5
Cyclosa_atrata	1
Cyclosa_sedeculata	31
Diaea_subdola	3
Ebrechtella_tricuspidata	47
Hypsosinga_pygmaea	5
Leucauge_blanda	27
Leucauge_celebesiana	1
Linyphiidae_sp.1	1
Linyphiidae_sp.2	1
Linyphiidae_sp.4	4
Mendoza_elongata	6
Mimetus_sp.	1
Neoscona_adianta	6
Neoscona_mellotteei	25
Neoscona_nautica	1
Neoscona_scylloides	65
Neriene_radiata	2
Oxyopes_sertatus	28
Pachygnatha_tenera	1
Philodromus_sp.	3
Salticidae_sp.1	3
Salticidae_sp.4	1
Salticidae_sp.5	4
Tetragnatha_caudicula	22
Tetragnatha_praedonia	5
Tetragnatha_squamata	6
Theridiidae_sp.	1
Thomisus_labefactus	18
unidentified_predator	2
Xysticus_sp.	20
