V1	V2
Gibbaranea_abscissus	3
Argiope_amoena	4
Argiope_bruennichi	13
Cheiracanthium_japonicum	6
Clubiona_sp.	1
Cyclosa_sedeculata	4
Diaea_subdola	1
Ebrechtella_tricuspidata	11
Larinia_argiopiformis	3
Leucauge_blanda	16
Mendoza_elongata	13
Myrmarachne_sp.	7
Neoscona_mellotteei	6
Neoscona_scylloides	2
Trichonephila_clavata	19
Neriene_radiata	1
Oxyopes_sertatus	32
Pachygnatha_tenera	2
Salticidae_sp.1	1
Salticidae_sp.2	3
Salticidae_sp.5	3
Salticidae_sp.6	3
Tetragnatha_caudicula	1
Tetragnatha_praedonia	1
Thomisus_labefactus	5
Xysticus_sp.	7
