node_id	sp_name
176	H_0142_Diptera_Chironomus
177	H_0143_Diptera_Diptera
178	H_0144_Lepidoptera_Lepidoptera
179	H_0145_Diptera_Phoridae
180	H_0146_Lepidoptera_Lepidoptera
181	H_0147_Diptera_Cecidomyiidae
182	H_0148_Diptera_Diptera
183	H_0150_Diptera_Gymnopternus
184	H_0151_Lepidoptera_Lepidoptera
185	H_0152_Diptera_Diptera
186	H_0153_Diptera_Diptera
187	H_0154_Diptera_Cecidomyiidae
188	H_0155_Hemiptera_Hemiptera
189	H_0157_Hemiptera_Aphrophora
190	H_0158_Hemiptera_Cicadellidae
191	H_0159_Diptera_Sciaridae
192	H_0160_Orthoptera_Atractomorpha
193	H_0161_Hemiptera_Aphrophoridae
194	H_0164_Diptera_Cecidomyiidae
195	H_0165_Diptera_Bradysia
196	H_0166_Diptera_Diptera
197	H_0167_Diptera_Diptera
198	H_0168_Coleoptera_Chrysomelidae
199	H_0169_Hymenoptera_Ichneumonidae
200	H_0170_Diptera_Exorista
201	H_0171_Diptera_Diptera
202	H_0172_Hemiptera_Hemiptera
203	H_0173_Diptera_Drosophilidae
204	H_0174_Diptera_Diptera
205	H_0176_Lepidoptera_Lepidoptera
206	H_0177_Diptera_Diptera
207	H_0178_Diptera_Drosophila
208	H_0179_Hemiptera_Pseudoregma.panicola
209	H_0180_Hemiptera_Bemisia
210	H_0181_Diptera_Sciaridae
211	H_0182_Diptera_Diptera
212	H_0183_Hymenoptera_Formicidae
213	H_0184_Diptera_Melanostoma
214	H_0185_Diptera_Diptera
215	H_0186_Hemiptera_Aphis.spiraecola
216	H_0187_Diptera_Diptera
217	H_0188_Lepidoptera_Lepidoptera
218	H_0189_Diptera_Phoridae
219	H_0191_Coleoptera_Curculionidae
220	H_0192_Diptera_Melanagromyza
221	H_0193_Diptera_Pipunculidae
222	H_0194_Diptera_Sciaridae
223	H_0195_Diptera_Tipulidae
224	H_0196_Diptera_Cecidomyiidae
225	H_0197_Diptera_Sciara
226	H_0198_Hemiptera_Triozidae
227	H_0199_Hemiptera_Cicadellidae
228	H_0200_Coleoptera_Cantharidae
229	H_0201_Diptera_Trichocera
230	H_0202_Hemiptera_Empoasca
231	H_0203_Ephemeroptera_Cloeon
232	H_0204_Diptera_Cecidomyiidae
233	H_0205_Diptera_Diptera
234	H_0206_Collembola_Homidia
235	H_0207_Coleoptera_Curculionidae
236	H_0208_Lepidoptera_Sesamia
237	H_0209_Diptera_Drosophilidae
238	H_0210_Neuroptera_Chrysoperla
239	H_0211_Diptera_Diptera
240	H_0212_Diptera_Cecidomyiidae
241	H_0213_Diptera_Diptera
242	H_0214_Coleoptera_Rhinoncus
243	H_0215_Hemiptera_Cicadellidae
244	H_0216_Hymenoptera_Hymenoptera
245	H_0217_Hemiptera_Creontiades
246	H_0218_Coleoptera_Chaetocnema
247	H_0219_Lepidoptera_Eurema.hecabe
248	H_0220_Hymenoptera_Hymenoptera
249	H_0222_Coleoptera_Coleoptera
