"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"Gibbaranea_abscissus"	1	0	1	0.0027	0	"spider"	1
"Argiope_bruennichi"	0.422676634442077	0.577323365557923	119	0.3234	0.3767	"spider"	66
"Cheiracanthium_japonicum"	0.414216292205381	0.58578370779462	4	0.0109	0.0015	"spider"	2
"Clubiona_sp."	0.33877904929672	0.66122095070328	12	0.0326	0.0224	"spider"	6
"Cyclosa_sedeculata"	0.393793561413596	0.606206438586404	21	0.0571	0.0416	"spider"	12
"Cyrtarachne_nagasakiensis"	0.516531027309938	0.483468972690062	4	0.0109	0.0066	"spider"	1
"Ebrechtella_tricuspidata"	0.418646007430328	0.581353992569672	60	0.163	0.1712	"spider"	26
"Larinia_argiopiformis"	0.414358616001015	0.585641383998985	77	0.2092	0.2348	"spider"	45
"Leucauge_blanda"	0.538324691712092	0.461675308287908	118	0.3207	0.3784	"spider"	84
"Linyphiidae_sp.5"	0.702182654018985	0.297817345981015	1	0.0027	0	"spider"	1
"Mendoza_elongata"	0.505601510760911	0.494398489239089	5	0.0136	0.0068	"spider"	3
"Myrmarachne_sp."	0.563489581789565	0.436510418210435	8	0.0217	0.0147	"spider"	4
"Neoscona_adianta"	0.591108123418365	0.408891876581635	2	0.0054	0.0054	"spider"	1
"Neoscona_scylloides"	0.472492887539282	0.527507112460718	1	0.0027	0	"spider"	1
"Trichonephila_clavata"	0.490446240242025	0.509553759757975	5	0.0136	0.0076	"spider"	2
"Neriene_radiata"	0.149625796545084	0.850374203454916	4	0.0109	0.0036	"spider"	2
"Oxyopes_badius"	0.401890779860366	0.598109220139634	2	0.0054	0.0017	"spider"	1
"Oxyopes_sertatus"	0.411315876746918	0.588684123253082	5	0.0136	0.0061	"spider"	2
"Oxytate_striatipes"	0.468382092926328	0.531617907073672	4	0.0109	0.0064	"spider"	1
"Salticidae_sp.1"	0.716173984663001	0.283826015336999	2	0.0054	3e-04	"spider"	1
"Salticidae_sp.2"	0.660831459429251	0.339168540570749	2	0.0054	0.0012	"spider"	1
"Salticidae_sp.3"	0.0139048442828206	0.986095155717179	1	0.0027	0	"spider"	1
"Salticidae_sp.6"	0.513231425605289	0.486768574394711	12	0.0326	0.0327	"spider"	4
"Sitticus_sp."	0.0416819876932596	0.95831801230674	2	0.0054	0.002	"spider"	2
"Tetragnatha_praedonia"	0.588075896022472	0.411924103977528	9	0.0245	0.0175	"spider"	4
"Thomisus_labefactus"	0.313617966131327	0.686382033868673	15	0.0408	0.0211	"spider"	3
"Xysticus_sp."	0.562153000782007	0.437846999217993	82	0.2228	0.2776	"spider"	18
"H_0001_Hymenoptera_Formicidae"	0.181806489202343	0.818193510797657	3	0.0082	0.0034	"prey"	6
