"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"Araneus_abscissus"	0.340344076350972	0.659655923649028	9	0.0549	0.0349	"spider"	3
"Argiope_amoena"	0.412111567640714	0.587888432359286	5	0.0305	0.0171	"spider"	2
"Argiope_bruennichi"	0.556112728610088	0.443887271389912	14	0.0854	0.0909	"spider"	9
"Cheiracanthium_japonicum"	0.262522103202274	0.737477896797726	4	0.0244	0.0182	"spider"	4
"Clubiona_sp."	0.27830238657094	0.72169761342906	1	0.0061	0	"spider"	1
"Cyclosa_sedeculata"	0.430674314240263	0.569325685759737	11	0.0671	0.0732	"spider"	4
"Diaea_subdola"	0.46360096987083	0.53639903012917	6	0.0366	0.0273	"spider"	1
"Ebrechtella_tricuspidata"	0.456305236318838	0.543694763681162	29	0.1768	0.2237	"spider"	10
"Larinia_argiopiformis"	0.0520274458535927	0.947972554146407	2	0.0122	0.0014	"spider"	2
"Leucauge_blanda"	0.710651702981339	0.289348297018661	21	0.128	0.1671	"spider"	13
"Mendoza_elongata"	0.431386175260257	0.568613824739743	8	0.0488	0.0465	"spider"	6
"Myrmarachne_sp."	1	0	1	0.0061	0	"spider"	1
"Neoscona_mellotteei"	0.622100454403897	0.377899545596103	3	0.0183	0.0135	"spider"	2
"Neoscona_scylloides"	0.874643987726425	0.125356012273575	2	0.0122	0.0119	"spider"	1
"Nephila_clavata"	0.395277587044899	0.604722412955101	13	0.0793	0.0845	"spider"	9
"Oxyopes_sertatus"	0.549727876059501	0.450272123940499	37	0.2256	0.2926	"spider"	22
"Pachygnatha_tenera"	1	0	1	0.0061	0	"spider"	1
"Salticidae_sp.2"	0.0592513361273749	0.940748663872625	4	0.0244	0.0084	"spider"	3
"Salticidae_sp.5"	0.357107702433234	0.642892297566766	4	0.0244	0.005	"spider"	3
"Salticidae_sp.6"	0.380213546105232	0.619786453894768	4	0.0244	0.0149	"spider"	3
"Thomisus_labefactus"	0.693960735860196	0.306039264139804	14	0.0854	0.1055	"spider"	5
"Xysticus_sp."	0.423399564700193	0.576600435299807	48	0.2927	0.3273	"spider"	7
"H_0001_Hymenoptera_Formicidae"	0.39715840662236	0.60284159337764	3	0.0183	0.0113	"prey"	5
"H_0004_Orthoptera_Acrididae"	0.483054852462922	0.516945147537078	2	0.0122	0	"prey"	3
"H_0012_Diptera_Diptera"	0.321907186385877	0.678092813614123	3	0.0183	0.0181	"prey"	4
"H_0014_Hemiptera_Nysius"	0.109780801248172	0.890219198751828	1	0.0061	0	"prey"	1
"H_0015_Diptera_Diptera"	0.233738811972334	0.766261188027666	1	0.0061	0	"prey"	1
"H_0017_Hemiptera_Bothrogonia"	0.0970896285209072	0.902910371479093	3	0.0183	0.0052	"prey"	4
"H_0022_Hymenoptera_Nylanderia"	0.0989716600750241	0.901028339924976	5	0.0305	0.003	"prey"	9
"H_0029_Hemiptera_Rhopalidae"	0.355274519209359	0.644725480790641	1	0.0061	0	"prey"	1
"H_0030_Diptera_Chironomidae"	0.462358022445897	0.537641977554103	2	0.0122	0.0051	"prey"	2
"H_0036_Diptera_Chironomus"	0.112869593037707	0.887130406962293	11	0.0671	0.032	"prey"	21
"H_0037_Hymenoptera_Formicidae"	0	1	2	0.0122	0.0227	"prey"	2
"H_0039_Blattodea_Blattella.bisignata"	0.416320620131802	0.583679379868198	1	0.0061	0	"prey"	1
"H_0040_Lepidoptera_Lepidoptera"	0.184521248569701	0.815478751430299	6	0.0366	0.1029	"prey"	10
"H_0042_Diptera_Chironomus"	0.174040547418912	0.825959452581087	7	0.0427	0.0363	"prey"	8
"H_0043_Orthoptera_Conocephalus"	0.144475320306021	0.855524679693979	6	0.0366	0.0265	"prey"	12
"H_0046_Collembola_Homidia"	1	0	1	0.0061	0	"prey"	1
"H_0048_Hemiptera_Tropidocephala"	0.330776290421719	0.669223709578281	7	0.0427	0.0715	"prey"	9
"H_0060_Orthoptera_Acrida"	0.592267561607136	0.407732438392864	1	0.0061	0	"prey"	1
"H_0061_Lepidoptera_Lepidoptera"	0.484723208060362	0.515276791939638	1	0.0061	0	"prey"	2
"H_0064_Orthoptera_Tetrigidae"	0.369070246428543	0.630929753571457	1	0.0061	0	"prey"	1
"H_0071_Hemiptera_Orius"	0.355274519209359	0.644725480790641	1	0.0061	0	"prey"	1
"H_0075_Hemiptera_Sitobion.avenae"	0.109780801248172	0.890219198751828	1	0.0061	0	"prey"	1
"H_0081_Hymenoptera_Formicidae"	0	1	1	0.0061	0	"prey"	1
"H_0085_Orthoptera_Orthoptera"	0.355274519209359	0.644725480790641	1	0.0061	0	"prey"	1
"H_0090_Diptera_Coboldia"	0.162014682835315	0.837985317164685	3	0.0183	0.0726	"prey"	3
