node_name	degree.z	c.score
Agelena_silvatica	-0.285678932661745	0.2449
Allagelena_opulenta	-0.967622191273652	0
Araneidae_sp.1	1.46136931113455	0.5988
Araneus_abscissus	1.62376219145159	0.4082
Argiope_amoena	0.669041629394925	0.551
Argiope_bruennichi	9.3093069822785	0.7938
Argyrodes_bonadea	-0.114912220614486	0
Ariamnes_cylindrogaster	-0.261725285510233	0
Cheiracanthium_japonicum	0.396264325950162	0.5139
Clubiona_sp.	2.03292814661874	0.3438
Cyclosa_atrata	-0.83123353955127	0
Cyclosa_sedeculata	4.20913029358799	0.8274
Cyrtarachne_nagasakiensis	-0.274155743524426	0
Diaea_subdola	2.94736016878305	0.7956
Dolomedes_sp.	-0.558456236106508	0.32
Ebrechtella_tricuspidata	10.9874098891987	0.7596
H_0001_Hymenoptera_Formicidae	-0.149290280939363	0.7813
H_0002_Orthoptera_Conocephalus.maculatus	0.123487022505399	0.84
H_0004_Orthoptera_Acrididae	-0.012901629216982	0.8642
H_0005_Diptera_Diptera	0.208163191384486	0.8642
H_0006_Hymenoptera_Hymenoptera	-0.124775575396281	0
H_0007_Diptera_Empididae	-0.00800530813552961	0.8
H_0010_Diptera_Diptera	-0.00285991726864864	0.6667
H_0011_Diptera_Diptera	1.0894710851362	0.8978
H_0012_Diptera_Diptera	-0.0459586149450665	0.8
H_0013_Diptera_Diptera	-0.0557826313662552	0.75
H_0014_Hemiptera_Nysius	0.0784087906178369	0.8333
H_0015_Diptera_Diptera	-0.012901629216982	0.8148
H_0016_Hemiptera_Adelphocoris	-0.0438520647859457	0.5
H_0017_Hemiptera_Bothrogonia	0.122575767611429	0.8571
H_0018_Hemiptera_Cavariella	-0.0540921403629381	0.6667
H_0019_Coleoptera_Plagiodera.versicolora	-0.32878086076086	0
H_0020_Hymenoptera_Lasius	0.0954525079628304	0.8571
H_0021_Dermaptera_Anisolabididae	-0.106294284560819	0
H_0022_Hymenoptera_Nylanderia	0.123487022505399	0.88
H_0023_Diptera_Diptera	0.593606783805062	0.7438
H_0024_Diptera_Diptera	0.345674633139494	0.8889
H_0026_Hemiptera_Pentatomidae	-0.142426094350121	0
H_0028_Diptera_Exorista	-0.0438520647859457	0.5
H_0029_Hemiptera_Rhopalidae	0.0132285956616276	0.8
H_0030_Diptera_Chironomidae	0.593606783805062	0.8099
H_0031_Diptera_Diptera	-0.149290280939363	0.8438
H_0032_Diptera_Diptera	-0.0557826313662552	0.75
H_0033_Hemiptera_Coreidae	-0.0389102565976939	0.8
H_0034_Hymenoptera_Pteromalus.puparum	-0.0848442123032428	0
H_0035_Hemiptera_Aphididae	0.396264325950162	0.875
H_0036_Diptera_Chironomus	1.89653949489636	0.7826
H_0037_Hymenoptera_Formicidae	-0.0438520647859457	0.5
H_0038_Coleoptera_Propylea	-0.106294284560819	0
H_0039_Blattodea_Blattella.bisignata	0.0010227506180023	0.625
H_0040_Lepidoptera_Lepidoptera	-0.012901629216982	0.8148
H_0041_Diptera_Culex	-0.012901629216982	0.8395
H_0042_Diptera_Chironomus	2.16931679834112	0.7936
H_0043_Orthoptera_Conocephalus	0.941818932839688	0.7734
H_0044_Diptera_Diptera	0.162050296854938	0.8571
H_0046_Collembola_Homidia	1.35098488800683	0.8476
H_0047_Diptera_Diptera	-0.0828428000581866	0.5
H_0048_Hemiptera_Tropidocephala	0.259875674227781	0.7438
H_0049_Coleoptera_Hypera	0.866025403784439	0.75
H_0050_Diptera_Diptera	0.0342418136242452	0.8
H_0051_Diptera_Diptera	-0.488323796267308	0
H_0052_Diptera_Drosophila	0.291718241961462	0.875
H_0055_Diptera_Homoneura	-0.00568968011978766	0.625
H_0056_Hymenoptera_Dendrocerus.carpenteri	-0.32878086076086	0
H_0058_Lepidoptera_Lepidoptera	-0.0828428000581866	0.5
H_0060_Orthoptera_Acrida	0.0537724027778258	0.8
H_0061_Lepidoptera_Lepidoptera	-0.32878086076086	0
H_0062_Diptera_Sarcophaga	-0.124775575396281	0
H_0063_Diptera_Diptera	-0.0828428000581866	0.5
H_0064_Orthoptera_Tetrigidae	-0.135593105531683	0.6667
H_0065_Diptera_Chironomidae	-0.012901629216982	0.8642
H_0066_Diptera_Chironomus	-0.012901629216982	0.8642
H_0067_Coleoptera_Hydrophilidae	-0.106294284560819	0
H_0068_Coleoptera_Chrysomelidae	-0.0262609408914963	0.6667
H_0069_Hymenoptera_Formicidae	-0.0848442123032428	0
H_0070_Diptera_Diptera	0.0624765471302057	0.8333
H_0071_Hemiptera_Orius	0.0010227506180023	0.75
H_0072_Diptera_Rivellia	-0.0173709191283092	0.6667
H_0073_Diptera_Cecidomyiidae	-0.0848442123032428	0
H_0074_Diptera_Scaptomyza	0.345674633139494	0.8889
H_0075_Hemiptera_Sitobion.avenae	0.669041629394925	0.8571
H_0076_Coleoptera_Coccinella	-0.0662776127261574	0.5
H_0077_Diptera_Pipunculidae	-0.0848442123032428	0
H_0078_Diptera_Mayetiola	-0.114912220614486	0.6667
H_0079_Hemiptera_Nysius	0.0848883012941912	0.8333
H_0080_Diptera_Megaselia	-0.124775575396281	0
H_0081_Hymenoptera_Formicidae	0.0010227506180023	0.75
H_0082_Diptera_Chironomidae	-0.124775575396281	0
H_0083_Lepidoptera_Cupido.argiades	-0.0828428000581866	0.5
H_0084_Diptera_Diptera	-0.124775575396281	0
H_0085_Orthoptera_Orthoptera	-0.32878086076086	0
H_0087_Diptera_Diptera	0.396264325950162	0.875
H_0088_Coleoptera_Popillia	-0.142426094350121	0
H_0089_Diptera_Bradysia	0.250345925270658	0.8571
H_0090_Diptera_Coboldia	0.504531124881042	0.8876
H_0091_Hemiptera_Therioaphis.trifolii	0.717572859137846	0.8333
H_0092_Diptera_Rhopalomyia	0.0537724027778258	0.8
H_0093_Hymenoptera_Trichogramma	-0.162296725486209	0.75
H_0094_Diptera_Phoridae	-0.122589057848354	0
H_0095_Orthoptera_Gampsocleis	-0.0848442123032428	0
H_0097_Diptera_Diptera	-0.124775575396281	0
H_0098_Hymenoptera_Hymenoptera	-0.142426094350121	0
H_0099_Lepidoptera_Lycaena	-0.0828428000581866	0.5
H_0100_Hemiptera_Hemiptera	-0.248164552201419	0.6667
H_0101_Hymenoptera_Andrena	-0.0848442123032428	0
H_0102_Diptera_Homoneura	-0.0699799884883314	0.5
H_0103_Orthoptera_Trigonidium	0.00334695788197529	0.8
H_0104_Hymenoptera_Hymenoptera	-0.0848442123032428	0
H_0105_Diptera_Sciaridae	1.07820758456207	0.8997
H_0106_Hemiptera_Rhopalosiphum.padi	0.23215393593036	0.8571
H_0108_Diptera_Sarcophagidae	-0.0438520647859457	0.5
H_0109_Diptera_Scaptomyza	0.035238150231713	0.75
H_0110_Diptera_Rivellia	-0.0848442123032428	0
H_0111_Diptera_Diptera	-0.00568968011978766	0.75
H_0112_Diptera_Diptera	-0.00992516336934643	0.75
H_0113_Diptera_Limoniidae	0.22170855780671	0.8438
H_0114_Diptera_Diptera	-0.0848442123032428	0
H_0115_Orthoptera_Gryllidae	-0.0982591173565298	0.5
H_0116_Diptera_Atrichopogon	-0.00568968011978766	0.75
H_0117_Hemiptera_Aphididae	-0.0848442123032428	0
H_0118_Orthoptera_Tettigoniidae	-0.285678932661745	0.8163
H_0119_Coleoptera_Elateridae	-0.142426094350121	0
H_0120_Hymenoptera_Lasius	-0.0982591173565298	0.5
H_0121_Hemiptera_Pentatomidae	-0.142426094350121	0
H_0122_Blattodea_Reticulitermes	-0.00568968011978766	0.75
H_0123_Lepidoptera_Lepidoptera	-0.0611822549350276	0.75
H_0124_Coleoptera_Chrysomelidae	-0.384572675608626	0
H_0125_Hemiptera_Cicadellidae	0.532652977672543	0.8521
H_0128_Hemiptera_Cicadellidae	-0.0557826313662552	0.75
H_0129_Diptera_Cecidomyiidae	0.345674633139494	0.8889
H_0130_Diptera_Diptera	0.41242923863517	0.8642
H_0131_Collembola_Collembola	-0.274155743524426	0.75
H_0132_Hemiptera_Cicadellidae	-0.149290280939363	0.6875
H_0133_Hemiptera_Chaitophorus	-0.124775575396281	0
H_0135_Coleoptera_Chrysomelidae	-0.0262609408914963	0.6667
H_0136_Lepidoptera_Lepidoptera	-0.0611822549350276	0.75
H_0137_Diptera_Austrosciara	0.430439141506903	0.9028
H_0138_Hymenoptera_Ichneumonidae	-0.0848442123032428	0
H_0139_Hymenoptera_Formicidae	0.0010227506180023	0.625
H_0140_Orthoptera_Polionemobius	0.0429555259560968	0.8
H_0141_Diptera_Cecidomyiidae	-0.0262609408914963	0.6667
H_0142_Diptera_Chironomus	-0.124775575396281	0
H_0143_Diptera_Diptera	0.00334695788197529	0.8
H_0144_Lepidoptera_Lepidoptera	-0.124775575396281	0
H_0145_Diptera_Phoridae	-0.142426094350121	0
H_0146_Lepidoptera_Lepidoptera	0.0137557309431648	0.75
H_0147_Diptera_Cecidomyiidae	0.0876394462582828	0.8333
H_0148_Diptera_Diptera	-0.369012483211554	0.5
H_0150_Diptera_Gymnopternus	0.0342418136242452	0.8
H_0151_Lepidoptera_Lepidoptera	-0.0848442123032428	0
H_0152_Diptera_Diptera	-0.124775575396281	0
H_0153_Diptera_Diptera	-0.0438520647859457	0.5
