"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"Agelena_silvatica"	0.628969821756075	0.371030178243925	4	0.0217	0.0119	"spider"	2
"Araneidae_sp.1"	0	1	1	0.0054	0	"spider"	1
"Araneus_abscissus"	0.757524936891097	0.242475063108903	3	0.0163	0.0127	"spider"	2
"Argiope_bruennichi"	0.291484019899265	0.708515980100735	100	0.5435	0.6657	"spider"	97
"Clubiona_sp."	0.604391672988368	0.395608327011632	2	0.0109	0.0047	"spider"	1
"Cyclosa_atrata"	0.0883502002045458	0.911649799795454	2	0.0109	4e-04	"spider"	2
"Ebrechtella_tricuspidata"	0.311292138207439	0.688707861792561	15	0.0815	0.107	"spider"	3
"Leucauge_blanda"	0.901197682048059	0.0988023179519414	8	0.0435	0.0539	"spider"	4
"Linyphiidae_sp.5"	0.269104617406086	0.730895382593914	9	0.0489	0.0288	"spider"	4
"Mendoza_elongata"	0	1	1	0.0054	0	"spider"	1
"Neoscona_mellotteei"	0.326339248273125	0.673660751726875	6	0.0326	0.0305	"spider"	3
"Neoscona_scylloides"	0.550684708189299	0.449315291810701	7	0.038	0.0551	"spider"	3
"Nephila_clavata"	0.619756683124363	0.380243316875637	6	0.0326	0.0316	"spider"	4
"Neriene_radiata"	0.463564771512589	0.536435228487411	11	0.0598	0.0707	"spider"	3
"Oxyopes_sertatus"	0.591021166657791	0.408978833342209	14	0.0761	0.1168	"spider"	9
"Parasteatoda_japonica"	0.508471255155658	0.491528744844342	3	0.0163	0.0138	"spider"	1
"Salticidae_sp.2"	0.62798135195749	0.37201864804251	5	0.0272	0.0167	"spider"	1
"Tetragnatha_caudicula"	0.465998002298837	0.534001997701163	14	0.0761	0.1013	"spider"	8
"Tetragnatha_praedonia"	0	1	1	0.0054	0	"spider"	1
"Thomisus_labefactus"	0.607193716751378	0.392806283248622	15	0.0815	0.1147	"spider"	4
"Xysticus_sp."	0.242852351879196	0.757147648120804	35	0.1902	0.2492	"spider"	11
"H_0002_Orthoptera_Conocephalus.maculatus"	0	1	2	0.0109	0	"prey"	3
"H_0004_Orthoptera_Acrididae"	0.0967762078155063	0.903223792184494	3	0.0163	0.0041	"prey"	11
"H_0005_Diptera_Diptera"	0.0799330363446741	0.920066963655326	8	0.0435	0.0268	"prey"	46
"H_0011_Diptera_Diptera"	0	1	1	0.0054	0	"prey"	2
"H_0013_Diptera_Diptera"	0.286390440912916	0.713609559087084	3	0.0163	0.0687	"prey"	3
"H_0015_Diptera_Diptera"	0	1	1	0.0054	0	"prey"	2
"H_0017_Hemiptera_Bothrogonia"	0	1	1	0.0054	0	"prey"	1
"H_0018_Hemiptera_Cavariella"	0	1	1	0.0054	0	"prey"	1
"H_0019_Coleoptera_Plagiodera.versicolora"	0.469382121614568	0.530617878385432	1	0.0054	0	"prey"	1
"H_0020_Hymenoptera_Lasius"	0.274590647316533	0.725409352683467	1	0.0054	0	"prey"	1
"H_0030_Diptera_Chironomidae"	0.244136837797447	0.755863162202553	2	0.0109	0.0136	"prey"	2
"H_0031_Diptera_Diptera"	0	1	1	0.0054	0	"prey"	1
"H_0032_Diptera_Diptera"	0.469382121614568	0.530617878385432	1	0.0054	0	"prey"	1
"H_0035_Hemiptera_Aphididae"	0.214515103406429	0.785484896593571	2	0.0109	0.012	"prey"	2
"H_0036_Diptera_Chironomus"	0.0730723190375168	0.926927680962483	8	0.0435	0.0297	"prey"	30
"H_0040_Lepidoptera_Lepidoptera"	0.274590647316533	0.725409352683467	1	0.0054	0	"prey"	1
"H_0042_Diptera_Chironomus"	0.0924889656590341	0.907511034340966	14	0.0761	0.0953	"prey"	67
"H_0043_Orthoptera_Conocephalus"	0.019927027723006	0.980072972276994	3	0.0163	0	"prey"	11
"H_0046_Collembola_Homidia"	0.057575590881621	0.942424409118379	2	0.0109	0	"prey"	4
"H_0050_Diptera_Diptera"	0.02808562472175	0.97191437527825	1	0.0054	0	"prey"	3
"H_0052_Diptera_Drosophila"	0.214515103406429	0.785484896593571	2	0.0109	0.012	"prey"	2
"H_0056_Hymenoptera_Dendrocerus.carpenteri"	0.469382121614568	0.530617878385432	1	0.0054	0	"prey"	1
"H_0060_Orthoptera_Acrida"	0	1	1	0.0054	0	"prey"	1
"H_0065_Diptera_Chironomidae"	0.446009673238519	0.553990326761481	3	0.0163	0.0069	"prey"	4
"H_0066_Diptera_Chironomus"	0.129152335880867	0.870847664119133	5	0.0272	0.1111	"prey"	5
"H_0068_Coleoptera_Chrysomelidae"	0.13101612389168	0.86898387610832	2	0.0109	0.0235	"prey"	2
"H_0071_Hemiptera_Orius"	0	1	1	0.0054	0	"prey"	1
"H_0072_Diptera_Rivellia"	0.361737046367187	0.638262953632813	2	0.0109	0.0419	"prey"	3
"H_0075_Hemiptera_Sitobion.avenae"	0	1	1	0.0054	0	"prey"	1
"H_0083_Lepidoptera_Cupido.argiades"	0.469382121614568	0.530617878385432	1	0.0054	0	"prey"	1
"H_0089_Diptera_Bradysia"	0.274590647316533	0.725409352683467	1	0.0054	0	"prey"	1
"H_0090_Diptera_Coboldia"	0	1	2	0.0109	0	"prey"	3
"H_0091_Hemiptera_Therioaphis.trifolii"	0.0394084927590209	0.960591507240979	3	0.0163	0.0065	"prey"	5
