"node_id"	"sp_name"	"module"	"flow"	"diet.set"
1	"Oxyopes_sertatus"	1	0.216381	"spider"
2	"Tetragnatha_praedonia"	8	0.00733496	"spider"
3	"Tetragnatha_caudicula"	3	0.0574572	"spider"
4	"Ebrechtella_tricuspidata"	4	0.0513447	"spider"
8	"Diaea_subdola"	7	0.00488998	"spider"
9	"Xysticus_sp."	2	0.102689	"spider"
13	"Pardosa_sp."	1	0.00733496	"spider"
18	"Argiope_amoena"	7	0.00488998	"spider"
19	"Leucauge_blanda"	5	0.0281174	"spider"
20	"Oxytate_striatipes"	6	0.0171149	"spider"
21	"Neriene_radiata"	9	0.00244499	"spider"
51	"H_0001_Hymenoptera_Formicidae"	2	0.00122249	"predatory/parasitic"
54	"H_0005_Diptera_Diptera"	2	0.00122249	"unidentified"
58	"H_0011_Diptera_Diptera"	2	0.00855746	"unidentified"
62	"H_0015_Diptera_Diptera"	3	0.00611247	"unidentified"
64	"H_0017_Hemiptera_Bothrogonia"	1	0.00733496	"herbivorous"
69	"H_0022_Hymenoptera_Nylanderia"	1	0.00122249	"predatory/parasitic"
71	"H_0024_Diptera_Diptera"	1	0.0415648	"unidentified"
73	"H_0028_Diptera_Exorista"	2	0.00122249	"predatory/parasitic"
76	"H_0031_Diptera_Diptera"	7	0.00855746	"unidentified"
79	"H_0034_Hymenoptera_Pteromalus.puparum"	1	0.00122249	"predatory/parasitic"
80	"H_0035_Hemiptera_Aphididae"	1	0.00733496	"herbivorous"
83	"H_0038_Coleoptera_Propylea"	2	0.00122249	"predatory/parasitic"
86	"H_0041_Diptera_Culex"	1	0.00733496	"predatory/parasitic"
87	"H_0042_Diptera_Chironomus"	2	0.00611247	"detritivorous"
89	"H_0044_Diptera_Diptera"	5	0.00122249	"unidentified"
90	"H_0046_Collembola_Homidia"	4	0.0195599	"detritivorous"
109	"H_0069_Hymenoptera_Formicidae"	1	0.00122249	"predatory/parasitic"
110	"H_0070_Diptera_Diptera"	5	0.00122249	"unidentified"
