# v2.0.0
# ./Infomap prey.id.prey.matrix.agg.4.txt_adj.txt . --clu --ftree
# started at 2022-01-24 12:15:29
# completed in 0.2801 s
# partitioned into 3 levels with 961 top modules
# codelength 4.54776 bits
# relative codelength savings 24.8242%
# module level 1
# node_id module flow
1 1 0.0711382
240 1 0.0101626
184 1 0.00609756
62 1 0.00406504
225 1 0.00406504
351 1 0.00406504
376 1 0.00406504
1079 1 0.00406504
139 1 0.00203252
142 1 0.00203252
154 1 0.00203252
194 1 0.00203252
211 1 0.00203252
219 1 0.00203252
228 1 0.00203252
270 1 0.00203252
276 1 0.00203252
346 1 0.00203252
373 1 0.00203252
488 1 0.00203252
582 1 0.00203252
595 1 0.00203252
751 1 0.00203252
824 1 0.00203252
19 2 0.0691057
56 2 0.0162602
71 2 0.00813008
92 2 0.00406504
114 2 0.00406504
226 2 0.00406504
202 2 0.00203252
220 2 0.00203252
232 2 0.00203252
315 2 0.00203252
337 2 0.00203252
349 2 0.00203252
392 2 0.00203252
474 2 0.00203252
546 2 0.00203252
570 2 0.00203252
739 2 0.00203252
750 2 0.00203252
840 2 0.00203252
1007 2 0.00203252
1080 2 0.00203252
22 3 0.0609756
128 3 0.0365854
143 3 0.0142276
97 3 0.00203252
161 3 0.00203252
162 3 0.00203252
166 3 0.00203252
190 3 0.00203252
198 3 0.00203252
305 3 0.00203252
380 3 0.00203252
821 3 0.00203252
1042 3 0.00203252
1086 3 0.00203252
4 4 0.0670732
70 4 0.0101626
93 4 0.0101626
449 4 0.0101626
607 4 0.00609756
343 4 0.00406504
102 4 0.00203252
168 4 0.00203252
176 4 0.00203252
185 4 0.00203252
264 4 0.00203252
342 4 0.00203252
478 4 0.00203252
533 4 0.00203252
737 4 0.00203252
971 4 0.00203252
1099 4 0.00203252
24 5 0.0691057
80 5 0.0142276
177 5 0.0101626
427 5 0.00813008
30 5 0.00203252
76 5 0.00203252
248 5 0.00203252
463 5 0.00203252
543 5 0.00203252
545 5 0.00203252
635 5 0.00203252
683 5 0.00203252
782 5 0.00203252
803 5 0.00203252
823 5 0.00203252
973 5 0.00203252
3 6 0.0528455
146 6 0.0121951
57 6 0.00813008
153 6 0.00813008
284 6 0.00406504
60 6 0.00203252
103 6 0.00203252
105 6 0.00203252
115 6 0.00203252
261 6 0.00203252
272 6 0.00203252
281 6 0.00203252
416 6 0.00203252
440 6 0.00203252
560 6 0.00203252
878 6 0.00203252
21 7 0.0406504
148 7 0.0101626
195 7 0.00813008
407 7 0.00609756
222 7 0.00406504
253 7 0.00406504
15 7 0.00203252
95 7 0.00203252
144 7 0.00203252
218 7 0.00203252
326 7 0.00203252
357 7 0.00203252
428 7 0.00203252
644 7 0.00203252
2 8 0.00609756
600 8 0.00406504
131 8 0.00203252
634 8 0.00203252
6 8 0.00609756
806 8 0.00406504
497 8 0.00203252
26 9 0.00609756
118 9 0.00609756
138 9 0.00609756
165 9 0.00203252
32 10 0.00813008
324 10 0.00813008
16 10 0.00203252
537 10 0.00203252
8 11 0.00813008
213 11 0.00406504
320 11 0.00406504
706 11 0.00203252
29 12 0.00813008
182 12 0.00203252
341 12 0.00203252
613 12 0.00203252
28 13 0.00406504
90 13 0.00203252
249 13 0.00203252
31 14 0.00406504
839 14 0.00203252
27 15 0.00406504
411 15 0.00203252
12 16 0.00406504
1083 16 0.00203252
356 17 0.00406504
23 17 0.00203252
25 18 0.00203252
91 18 0.00203252
20 19 0
18 20 0
17 21 0
14 22 0
13 23 0
11 24 0
10 25 0
9 26 0
7 27 0
5 28 0
33 29 0
34 30 0
35 31 0
36 32 0
37 33 0
38 34 0
39 35 0
40 36 0
41 37 0
42 38 0
43 39 0
44 40 0
45 41 0
46 42 0
47 43 0
48 44 0
49 45 0
50 46 0
51 47 0
52 48 0
53 49 0
54 50 0
55 51 0
58 52 0
59 53 0
61 54 0
63 55 0
64 56 0
65 57 0
66 58 0
67 59 0
68 60 0
69 61 0
72 62 0
73 63 0
74 64 0
75 65 0
77 66 0
78 67 0
79 68 0
81 69 0
82 70 0
83 71 0
84 72 0
85 73 0
86 74 0
87 75 0
88 76 0
89 77 0
94 78 0
96 79 0
98 80 0
99 81 0
100 82 0
101 83 0
104 84 0
106 85 0
107 86 0
108 87 0
109 88 0
110 89 0
111 90 0
112 91 0
113 92 0
116 93 0
