"node_id"	"sp_name"	"module"	"flow"	"col"
1	"Oxyopes_sertatus"	1	0.223039	"#8DD3C7"
2	"Tetragnatha_praedonia"	1	0.0122549	"#8DD3C7"
3	"Tetragnatha_caudicula"	1	0.0843838	"#8DD3C7"
4	"Ebrechtella_tricuspidata"	1	0.0623249	"#8DD3C7"
5	"Nephila_clavata"	1	0.00315126	"#8DD3C7"
6	"Neoscona_mellotteei"	1	0.00210084	"#8DD3C7"
7	"Clubiona_sp."	1	0.00245098	"#8DD3C7"
8	"Diaea_subdola"	1	0.00595238	"#8DD3C7"
9	"Xysticus_sp."	1	0.0861345	"#8DD3C7"
10	"Larinia_argiopiformis"	1	0.00280112	"#8DD3C7"
11	"Hypsosinga_pygmaea"	1	0.00070028	"#8DD3C7"
12	"Mendoza_elongata"	1	0.00420168	"#8DD3C7"
13	"Pardosa_sp."	1	0.00245098	"#8DD3C7"
14	"Dolomedes_sp."	1	0.0017507	"#8DD3C7"
15	"Thomisus_labefactus"	1	0.00455182	"#8DD3C7"
16	"Sitticus_sp."	1	0.00035014	"#8DD3C7"
17	"Salticidae_sp.1"	1	0.00140056	"#8DD3C7"
51	"H_0001_Hymenoptera_Formicidae"	1	0.00070028	"#8DD3C7"
52	"H_0002_Orthoptera_Conocephalus.maculatus"	1	0.00210084	"#8DD3C7"
58	"H_0011_Diptera_Diptera"	1	0.0332633	"#8DD3C7"
61	"H_0014_Hemiptera_Nysius"	1	0.00070028	"#8DD3C7"
62	"H_0015_Diptera_Diptera"	1	0.00140056	"#8DD3C7"
68	"H_0021_Dermaptera_Anisolabididae"	1	0.00035014	"#8DD3C7"
69	"H_0022_Hymenoptera_Nylanderia"	1	0.00315126	"#8DD3C7"
71	"H_0024_Diptera_Diptera"	1	0.00560224	"#8DD3C7"
73	"H_0028_Diptera_Exorista"	1	0.00035014	"#8DD3C7"
76	"H_0031_Diptera_Diptera"	1	0.00805322	"#8DD3C7"
77	"H_0032_Diptera_Diptera"	1	0.00070028	"#8DD3C7"
81	"H_0036_Diptera_Chironomus"	1	0.0112045	"#8DD3C7"
85	"H_0040_Lepidoptera_Lepidoptera"	1	0.00105042	"#8DD3C7"
86	"H_0041_Diptera_Culex"	1	0.0371148	"#8DD3C7"
87	"H_0042_Diptera_Chironomus"	1	0.0479692	"#8DD3C7"
