"node_id"	"sp_name"	"module"	"flow"	"diet.set"
1	"Oxyopes_sertatus"	1	0.223039	"spider"
2	"Tetragnatha_praedonia"	1	0.0122549	"spider"
3	"Tetragnatha_caudicula"	1	0.0843838	"spider"
4	"Ebrechtella_tricuspidata"	1	0.0623249	"spider"
5	"Nephila_clavata"	1	0.00315126	"spider"
6	"Neoscona_mellotteei"	1	0.00210084	"spider"
7	"Clubiona_sp."	1	0.00245098	"spider"
8	"Diaea_subdola"	1	0.00595238	"spider"
9	"Xysticus_sp."	1	0.0861345	"spider"
10	"Larinia_argiopiformis"	1	0.00280112	"spider"
11	"Hypsosinga_pygmaea"	1	0.00070028	"spider"
12	"Mendoza_elongata"	1	0.00420168	"spider"
13	"Pardosa_sp."	1	0.00245098	"spider"
14	"Dolomedes_sp."	1	0.0017507	"spider"
15	"Thomisus_labefactus"	1	0.00455182	"spider"
16	"Sitticus_sp."	1	0.00035014	"spider"
17	"Salticidae_sp.1"	1	0.00140056	"spider"
51	"H_0001_Hymenoptera_Formicidae"	1	0.00070028	"predatory/parasitic"
52	"H_0002_Orthoptera_Conocephalus.maculatus"	1	0.00210084	"variable"
58	"H_0011_Diptera_Diptera"	1	0.0332633	"unidentified"
61	"H_0014_Hemiptera_Nysius"	1	0.00070028	"variable"
62	"H_0015_Diptera_Diptera"	1	0.00140056	"unidentified"
68	"H_0021_Dermaptera_Anisolabididae"	1	0.00035014	"predatory/parasitic"
69	"H_0022_Hymenoptera_Nylanderia"	1	0.00315126	"predatory/parasitic"
71	"H_0024_Diptera_Diptera"	1	0.00560224	"unidentified"
73	"H_0028_Diptera_Exorista"	1	0.00035014	"predatory/parasitic"
76	"H_0031_Diptera_Diptera"	1	0.00805322	"unidentified"
77	"H_0032_Diptera_Diptera"	1	0.00070028	"unidentified"
81	"H_0036_Diptera_Chironomus"	1	0.0112045	"detritivorous"
85	"H_0040_Lepidoptera_Lepidoptera"	1	0.00105042	"unidentified"
86	"H_0041_Diptera_Culex"	1	0.0371148	"predatory/parasitic"
87	"H_0042_Diptera_Chironomus"	1	0.0479692	"detritivorous"
88	"H_0043_Orthoptera_Conocephalus"	1	0.00035014	"variable"
89	"H_0044_Diptera_Diptera"	1	0.00210084	"unidentified"
90	"H_0046_Collembola_Homidia"	1	0.0203081	"detritivorous"
94	"H_0050_Diptera_Diptera"	1	0.00210084	"unidentified"
96	"H_0052_Diptera_Drosophila"	1	0.0017507	"variable"
105	"H_0065_Diptera_Chironomidae"	1	0.00560224	"detritivorous"
106	"H_0066_Diptera_Chironomus"	1	0.00420168	"detritivorous"
110	"H_0070_Diptera_Diptera"	1	0.00490196	"unidentified"
113	"H_0073_Diptera_Cecidomyiidae"	1	0.00070028	"variable"
114	"H_0074_Diptera_Scaptomyza"	1	0.00070028	"variable"
115	"H_0075_Hemiptera_Sitobion.avenae"	1	0.0136555	"herbivorous"
116	"H_0076_Coleoptera_Coccinella"	1	0.00140056	"predatory/parasitic"
