"module"	"color"
"1"	"#8DD3C7"
"2"	"#FFFFB3"
"3"	"#BEBADA"
"4"	"#FB8072"
"5"	"#80B1D3"
"6"	"#FDB462"
"7"	"#B3DE69"
"8"	"#FCCDE5"
"9"	"#D9D9D9"
"10"	"#BC80BD"
"11"	"#CCEBC5"
"12"	"#FFED6F"
"13"	"#B6B69F"
"14"	"#B6B69F"
"15"	"#B6B69F"
"16"	"#B6B69F"
"17"	"#B6B69F"
"18"	"#B6B69F"
"19"	"#B6B69F"
"20"	"#B6B69F"
