"node_id"	"sp_name"	"module"	"flow"	"diet.set"
1	"Oxyopes_sertatus"	3	0.0554245	"spider"
2	"Tetragnatha_praedonia"	17	0.00589623	"spider"
3	"Tetragnatha_caudicula"	11	0.0176887	"spider"
4	"Ebrechtella_tricuspidata"	2	0.0613208	"spider"
6	"Neoscona_mellotteei"	7	0.0283019	"spider"
7	"Clubiona_sp."	2	0.00117925	"spider"
8	"Diaea_subdola"	6	0.00117925	"spider"
9	"Xysticus_sp."	8	0.0235849	"spider"
11	"Hypsosinga_pygmaea"	15	0.00589623	"spider"
12	"Mendoza_elongata"	14	0.00589623	"spider"
15	"Thomisus_labefactus"	10	0.0212264	"spider"
17	"Salticidae_sp.1"	16	0.00943396	"spider"
19	"Leucauge_blanda"	5	0.0294811	"spider"
21	"Neriene_radiata"	12	0.00117925	"spider"
22	"Cyclosa_sedeculata"	4	0.0389151	"spider"
23	"Cheiracanthium_japonicum"	19	0.00117925	"spider"
24	"Neoscona_scylloides"	1	0.108491	"spider"
26	"Mimetus_sp."	9	0.00235849	"spider"
27	"Pachygnatha_tenera"	21	0.00117925	"spider"
28	"Neoscona_adianta"	12	0.00707547	"spider"
29	"Philodromus_sp."	2	0.00235849	"spider"
31	"Tetragnatha_squamata"	15	0.00353774	"spider"
32	"Argiope_bruennichi"	6	0.0224057	"spider"
33	"Araneidae_sp.1"	9	0.0224057	"spider"
34	"Araneus_abscissus"	13	0.00943396	"spider"
35	"Leucauge_celebesiana"	18	0.00353774	"spider"
36	"Agelena_silvatica"	14	0.00353774	"spider"
37	"Linyphiidae_sp.4"	12	0.00117925	"spider"
38	"Cyclosa_atrata"	6	0.00117925	"spider"
39	"Ariamnes_cylindrogaster"	20	0.00117925	"spider"
40	"Theridiidae_sp."	2	0.00235849	"spider"
52	"H_0002_Orthoptera_Conocephalus.maculatus"	14	0.00117925	"variable"
53	"H_0004_Orthoptera_Acrididae"	3	0.00117925	"herbivorous"
54	"H_0005_Diptera_Diptera"	4	0.00117925	"unidentified"
59	"H_0012_Diptera_Diptera"	3	0.00117925	"unidentified"
63	"H_0016_Hemiptera_Adelphocoris"	3	0.00117925	"variable"
65	"H_0018_Hemiptera_Cavariella"	10	0.00235849	"herbivorous"
69	"H_0022_Hymenoptera_Nylanderia"	5	0.0153302	"predatory/parasitic"
70	"H_0023_Diptera_Diptera"	1	0.0259434	"unidentified"
75	"H_0030_Diptera_Chironomidae"	2	0.00471698	"detritivorous"
77	"H_0032_Diptera_Diptera"	1	0.00117925	"unidentified"
80	"H_0035_Hemiptera_Aphididae"	2	0.00825472	"herbivorous"
81	"H_0036_Diptera_Chironomus"	5	0.00235849	"detritivorous"
82	"H_0037_Hymenoptera_Formicidae"	8	0.00235849	"predatory/parasitic"
88	"H_0043_Orthoptera_Conocephalus"	14	0.00353774	"variable"
90	"H_0046_Collembola_Homidia"	16	0.00117925	"detritivorous"
91	"H_0047_Diptera_Diptera"	2	0.00117925	"unidentified"
92	"H_0048_Hemiptera_Tropidocephala"	4	0.00117925	"herbivorous"
93	"H_0049_Coleoptera_Hypera"	3	0.00117925	"herbivorous"
97	"H_0055_Diptera_Homoneura"	20	0.00235849	"detritivorous"
111	"H_0071_Hemiptera_Orius"	2	0.00117925	"predatory/parasitic"
114	"H_0074_Diptera_Scaptomyza"	1	0.00235849	"variable"
115	"H_0075_Hemiptera_Sitobion.avenae"	4	0.00943396	"herbivorous"
120	"H_0080_Diptera_Megaselia"	2	0.00117925	"variable"
122	"H_0082_Diptera_Chironomidae"	2	0.00117925	"detritivorous"
124	"H_0084_Diptera_Diptera"	2	0.00117925	"unidentified"
129	"H_0090_Diptera_Coboldia"	6	0.00589623	"detritivorous"
130	"H_0091_Hemiptera_Therioaphis.trifolii"	12	0.0200472	"herbivorous"
134	"H_0095_Orthoptera_Gampsocleis"	3	0.00117925	"variable"
137	"H_0099_Lepidoptera_Lycaena"	2	0.00117925	"herbivorous"
143	"H_0105_Diptera_Sciaridae"	6	0.0188679	"detritivorous"
144	"H_0106_Hemiptera_Rhopalosiphum.padi"	5	0.00235849	"herbivorous"
145	"H_0108_Diptera_Sarcophagidae"	3	0.00117925	"detritivorous"
148	"H_0111_Diptera_Diptera"	18	0.00117925	"unidentified"
150	"H_0113_Diptera_Limoniidae"	11	0.00117925	"variable"
151	"H_0114_Diptera_Diptera"	3	0.00235849	"unidentified"
153	"H_0116_Diptera_Atrichopogon"	11	0.00353774	"predatory/parasitic"
159	"H_0122_Blattodea_Reticulitermes"	3	0.00825472	"detritivorous"
162	"H_0125_Hemiptera_Cicadellidae"	14	0.00235849	"herbivorous"
163	"H_0128_Hemiptera_Cicadellidae"	11	0.00117925	"herbivorous"
164	"H_0129_Diptera_Cecidomyiidae"	1	0.00235849	"variable"
165	"H_0130_Diptera_Diptera"	11	0.00353774	"unidentified"
166	"H_0131_Collembola_Collembola"	8	0.00589623	"unidentified"
167	"H_0132_Hemiptera_Cicadellidae"	4	0.00117925	"herbivorous"
171	"H_0137_Diptera_Austrosciara"	1	0.00707547	"detritivorous"
177	"H_0143_Diptera_Diptera"	17	0.00117925	"unidentified"
181	"H_0147_Diptera_Cecidomyiidae"	7	0.00117925	"variable"
182	"H_0148_Diptera_Diptera"	2	0.00117925	"unidentified"
184	"H_0151_Lepidoptera_Lepidoptera"	3	0.00235849	"unidentified"
188	"H_0155_Hemiptera_Hemiptera"	3	0.00353774	"unidentified"
190	"H_0158_Hemiptera_Cicadellidae"	1	0.00117925	"herbivorous"
195	"H_0165_Diptera_Bradysia"	4	0.0224057	"detritivorous"
200	"H_0170_Diptera_Exorista"	2	0.00117925	"predatory/parasitic"
202	"H_0172_Hemiptera_Hemiptera"	3	0.00117925	"unidentified"
209	"H_0180_Hemiptera_Bemisia"	10	0.00117925	"herbivorous"
210	"H_0181_Diptera_Sciaridae"	15	0.00353774	"detritivorous"
211	"H_0182_Diptera_Diptera"	9	0.00235849	"unidentified"
213	"H_0184_Diptera_Melanostoma"	3	0.00117925	"variable"
215	"H_0186_Hemiptera_Aphis.spiraecola"	19	0.00471698	"herbivorous"
218	"H_0189_Diptera_Phoridae"	4	0.00117925	"variable"
224	"H_0196_Diptera_Cecidomyiidae"	13	0.00353774	"variable"
228	"H_0200_Coleoptera_Cantharidae"	2	0.00117925	"predatory/parasitic"
230	"H_0202_Hemiptera_Empoasca"	2	0.00117925	"herbivorous"
235	"H_0207_Coleoptera_Curculionidae"	8	0.00117925	"herbivorous"
249	"H_0222_Coleoptera_Coleoptera"	9	0.00235849	"unidentified"
253	"H_0226_Hemiptera_Aphididae"	10	0.00471698	"herbivorous"
254	"H_0227_Hemiptera_Cicadellidae"	4	0.00117925	"herbivorous"
258	"H_0231_Diptera_Cecidomyiidae"	1	0.0106132	"variable"
261	"H_0235_Diptera_Diptera"	1	0.00589623	"unidentified"
267	"H_0241_Diptera_Diptera"	10	0.00117925	"unidentified"
272	"H_0247_Diptera_Cecidomyiidae"	7	0.00117925	"variable"
275	"H_0250_Hymenoptera_Eurytomidae"	2	0.00117925	"herbivorous"
280	"H_0255_Hymenoptera_Formica"	8	0.00235849	"predatory/parasitic"
282	"H_0257_Diptera_Diptera"	9	0.00117925	"unidentified"
291	"H_0268_Hemiptera_Aphis"	12	0.00353774	"herbivorous"
