"node_id"	"sp_name"	"module"	"flow"	"col"
1	"Oxyopes_sertatus"	2	0.0193966	"#FFFFB3"
2	"Tetragnatha_praedonia"	1	0.00107759	"#8DD3C7"
3	"Tetragnatha_caudicula"	5	0.018319	"#80B1D3"
4	"Ebrechtella_tricuspidata"	3	0.018319	"#BEBADA"
5	"Nephila_clavata"	10	0.00646552	"#BC80BD"
6	"Neoscona_mellotteei"	1	0.00646552	"#8DD3C7"
7	"Clubiona_sp."	3	0.00215517	"#BEBADA"
9	"Xysticus_sp."	1	0.0603448	"#8DD3C7"
12	"Mendoza_elongata"	1	0.00107759	"#8DD3C7"
15	"Thomisus_labefactus"	4	0.0204741	"#FB8072"
19	"Leucauge_blanda"	6	0.0107759	"#FDB462"
21	"Neriene_radiata"	7	0.012931	"#B3DE69"
24	"Neoscona_scylloides"	8	0.00862069	"#FCCDE5"
32	"Argiope_bruennichi"	1	0.27694	"#8DD3C7"
33	"Araneidae_sp.1"	1	0.00107759	"#8DD3C7"
34	"Araneus_abscissus"	12	0.00323276	"#FFED6F"
36	"Agelena_silvatica"	11	0.00431034	"#CCEBC5"
38	"Cyclosa_atrata"	1	0.00323276	"#8DD3C7"
41	"Parasteatoda_japonica"	2	0.00323276	"#FFFFB3"
42	"Linyphiidae_sp.5"	1	0.0161638	"#8DD3C7"
43	"Salticidae_sp.2"	9	0.00538793	"#D9D9D9"
52	"H_0002_Orthoptera_Conocephalus.maculatus"	1	0.00323276	"#8DD3C7"
53	"H_0004_Orthoptera_Acrididae"	1	0.0118534	"#8DD3C7"
54	"H_0005_Diptera_Diptera"	1	0.049569	"#8DD3C7"
58	"H_0011_Diptera_Diptera"	1	0.00215517	"#8DD3C7"
60	"H_0013_Diptera_Diptera"	3	0.00323276	"#BEBADA"
62	"H_0015_Diptera_Diptera"	1	0.00215517	"#8DD3C7"
64	"H_0017_Hemiptera_Bothrogonia"	1	0.00107759	"#8DD3C7"
65	"H_0018_Hemiptera_Cavariella"	1	0.00107759	"#8DD3C7"
66	"H_0019_Coleoptera_Plagiodera.versicolora"	4	0.00107759	"#FB8072"
67	"H_0020_Hymenoptera_Lasius"	1	0.00107759	"#8DD3C7"
75	"H_0030_Diptera_Chironomidae"	10	0.00215517	"#BC80BD"
76	"H_0031_Diptera_Diptera"	1	0.00107759	"#8DD3C7"
77	"H_0032_Diptera_Diptera"	4	0.00107759	"#FB8072"
80	"H_0035_Hemiptera_Aphididae"	8	0.00215517	"#FCCDE5"
81	"H_0036_Diptera_Chironomus"	1	0.0323276	"#8DD3C7"
85	"H_0040_Lepidoptera_Lepidoptera"	1	0.00107759	"#8DD3C7"
87	"H_0042_Diptera_Chironomus"	1	0.0721983	"#8DD3C7"
88	"H_0043_Orthoptera_Conocephalus"	1	0.0118534	"#8DD3C7"
90	"H_0046_Collembola_Homidia"	1	0.00431034	"#8DD3C7"
94	"H_0050_Diptera_Diptera"	1	0.00323276	"#8DD3C7"
96	"H_0052_Diptera_Drosophila"	8	0.00215517	"#FCCDE5"
98	"H_0056_Hymenoptera_Dendrocerus.carpenteri"	4	0.00107759	"#FB8072"
100	"H_0060_Orthoptera_Acrida"	1	0.00107759	"#8DD3C7"
105	"H_0065_Diptera_Chironomidae"	4	0.00431034	"#FB8072"
106	"H_0066_Diptera_Chironomus"	1	0.00538793	"#8DD3C7"
108	"H_0068_Coleoptera_Chrysomelidae"	2	0.00215517	"#FFFFB3"
111	"H_0071_Hemiptera_Orius"	1	0.00107759	"#8DD3C7"
112	"H_0072_Diptera_Rivellia"	6	0.00323276	"#FDB462"
115	"H_0075_Hemiptera_Sitobion.avenae"	1	0.00107759	"#8DD3C7"
123	"H_0083_Lepidoptera_Cupido.argiades"	4	0.00107759	"#FB8072"
128	"H_0089_Diptera_Bradysia"	1	0.00107759	"#8DD3C7"
129	"H_0090_Diptera_Coboldia"	1	0.00323276	"#8DD3C7"
130	"H_0091_Hemiptera_Therioaphis.trifolii"	1	0.00538793	"#8DD3C7"
140	"H_0102_Diptera_Homoneura"	8	0.00215517	"#FCCDE5"
143	"H_0105_Diptera_Sciaridae"	1	0.0150862	"#8DD3C7"
144	"H_0106_Hemiptera_Rhopalosiphum.padi"	1	0.0075431	"#8DD3C7"
145	"H_0108_Diptera_Sarcophagidae"	6	0.00107759	"#FDB462"
155	"H_0118_Orthoptera_Tettigoniidae"	1	0.00107759	"#8DD3C7"
162	"H_0125_Hemiptera_Cicadellidae"	1	0.00215517	"#8DD3C7"
167	"H_0132_Hemiptera_Cicadellidae"	1	0.00107759	"#8DD3C7"
172	"H_0138_Hymenoptera_Ichneumonidae"	2	0.00107759	"#FFFFB3"
174	"H_0140_Orthoptera_Polionemobius"	1	0.00107759	"#8DD3C7"
175	"H_0141_Diptera_Cecidomyiidae"	1	0.00107759	"#8DD3C7"
183	"H_0150_Diptera_Gymnopternus"	6	0.00431034	"#FDB462"
188	"H_0155_Hemiptera_Hemiptera"	1	0.012931	"#8DD3C7"
189	"H_0157_Hemiptera_Aphrophora"	1	0.00107759	"#8DD3C7"
192	"H_0160_Orthoptera_Atractomorpha"	1	0.00107759	"#8DD3C7"
206	"H_0177_Diptera_Diptera"	1	0.00107759	"#8DD3C7"
211	"H_0182_Diptera_Diptera"	1	0.00107759	"#8DD3C7"
213	"H_0184_Diptera_Melanostoma"	2	0.00646552	"#FFFFB3"
215	"H_0186_Hemiptera_Aphis.spiraecola"	3	0.00215517	"#BEBADA"
223	"H_0195_Diptera_Tipulidae"	2	0.00215517	"#FFFFB3"
227	"H_0199_Hemiptera_Cicadellidae"	1	0.00215517	"#8DD3C7"
245	"H_0217_Hemiptera_Creontiades"	2	0.00215517	"#FFFFB3"
253	"H_0226_Hemiptera_Aphididae"	1	0.00107759	"#8DD3C7"
254	"H_0227_Hemiptera_Cicadellidae"	1	0.00107759	"#8DD3C7"
256	"H_0229_Orthoptera_Tettigoniidae"	12	0.00107759	"#FFED6F"
260	"H_0234_Diptera_Diptera"	5	0.00107759	"#80B1D3"
261	"H_0235_Diptera_Diptera"	3	0.00431034	"#BEBADA"
278	"H_0253_Diptera_Syrphidae"	1	0.00646552	"#8DD3C7"
280	"H_0255_Hymenoptera_Formica"	9	0.00215517	"#D9D9D9"
282	"H_0257_Diptera_Diptera"	1	0.00107759	"#8DD3C7"
286	"H_0262_Hemiptera_Hemiptera"	3	0.00107759	"#BEBADA"
289	"H_0266_Diptera_Cecidomyiidae"	8	0.00107759	"#FCCDE5"
290	"H_0267_Coleoptera_Curculionidae"	11	0.00107759	"#CCEBC5"
291	"H_0268_Hemiptera_Aphis"	1	0.00107759	"#8DD3C7"
293	"H_0270_Diptera_Chrysotus"	1	0.00107759	"#8DD3C7"
300	"H_0277_Diptera_Bradysia"	1	0.00107759	"#8DD3C7"
313	"H_0291_Diptera_Cecidomyiidae"	1	0.00107759	"#8DD3C7"
315	"H_0293_Diptera_Ensina.sonchi"	10	0.00107759	"#BC80BD"
317	"H_0295_Diptera_Diptera"	1	0.00107759	"#8DD3C7"
319	"H_0298_Diptera_Megaselia"	7	0.00107759	"#B3DE69"
323	"H_0305_Hemiptera_Riptortus.pedestris"	4	0.00107759	"#FB8072"
