"node_id"	"sp_name"	"module"	"flow"	"diet.set"
254	"H_0227_Hemiptera_Cicadellidae"	7	0.00162514	"herbivorous"
256	"H_0229_Orthoptera_Tettigoniidae"	2	0.000541712	"variable"
259	"H_0232_Coleoptera_Chrysomelidae"	1	0.00595883	"herbivorous"
262	"H_0236_Diptera_Diptera"	1	0.00216685	"unidentified"
266	"H_0240_Lepidoptera_Lepidoptera"	3	0.000541712	"unidentified"
273	"H_0248_Diptera_Cecidomyiidae"	2	0.000541712	"variable"
277	"H_0252_Hymenoptera_Lasius"	1	0.00162514	"predatory/parasitic"
280	"H_0255_Hymenoptera_Formica"	3	0.000541712	"predatory/parasitic"
282	"H_0257_Diptera_Diptera"	1	0.000541712	"unidentified"
291	"H_0268_Hemiptera_Aphis"	1	0.0314193	"herbivorous"
292	"H_0269_Hemiptera_Bemisia"	2	0.00108342	"herbivorous"
296	"H_0273_Hemiptera_Hemiptera"	3	0.00108342	"unidentified"
303	"H_0280_Hemiptera_Delphacidae"	2	0.00162514	"herbivorous"
304	"H_0281_Hymenoptera_Hymenoptera"	1	0.000541712	"unidentified"
306	"H_0283_Diptera_Diptera"	2	0.00216685	"unidentified"
316	"H_0294_Diptera_Cecidomyiidae"	2	0.00108342	"variable"
317	"H_0295_Diptera_Diptera"	2	0.00433369	"unidentified"
318	"H_0296_Diptera_Sciaridae"	2	0.000541712	"detritivorous"
325	"H_0307_Diptera_Cecidomyiidae"	1	0.00541712	"variable"
327	"H_0309_Hemiptera_Geisha.distinctissima"	7	0.00108342	"herbivorous"
332	"H_0315_Hymenoptera_Formicidae"	1	0.00216685	"predatory/parasitic"
333	"H_0316_Hemiptera_Delphacidae"	6	0.00108342	"herbivorous"
334	"H_0317_Hemiptera_Cicadellidae"	2	0.00162514	"herbivorous"
347	"H_0332_Lepidoptera_Lepidoptera"	2	0.000541712	"unidentified"
348	"H_0333_Diptera_Diptera"	2	0.000541712	"unidentified"
352	"H_0337_Orthoptera_Loxoblemmus.equestris"	2	0.00162514	"variable"
360	"H_0346_Hemiptera_Miridae"	2	0.000541712	"variable"
361	"H_0348_Diptera_Drosophilidae"	1	0.000541712	"variable"
370	"H_0358_Hymenoptera_Aphaenogaster"	1	0.000541712	"predatory/parasitic"
372	"H_0360_Diptera_Cecidomyiidae"	3	0.0092091	"variable"
375	"H_0363_Diptera_Diptera"	7	0.000541712	"unidentified"
376	"H_0364_Diptera_Diptera"	1	0.000541712	"unidentified"
378	"H_0366_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
380	"H_0368_Diptera_Megaselia"	1	0.000541712	"variable"
387	"H_0375_Diptera_Phoridae"	2	0.000541712	"variable"
389	"H_0377_Diptera_Sciaridae"	3	0.00216685	"detritivorous"
396	"H_0386_Diptera_Cecidomyiidae"	1	0.00325027	"variable"
404	"H_0395_Hemiptera_Cicadellidae"	1	0.000541712	"herbivorous"
406	"H_0397_Neuroptera_Neuroptera"	1	0.000541712	"unidentified"
410	"H_0401_Lepidoptera_Crambidae"	3	0.00108342	"herbivorous"
414	"H_0406_Diptera_Diptera"	5	0.00325027	"unidentified"
415	"H_0407_Diptera_Phoridae"	1	0.000541712	"variable"
421	"H_0413_Hymenoptera_Formica"	3	0.000541712	"predatory/parasitic"
422	"H_0415_Hymenoptera_Hymenoptera"	1	0.00162514	"unidentified"
423	"H_0416_Hymenoptera_Halictidae"	3	0.000541712	"herbivorous"
430	"H_0425_Diptera_Cecidomyiidae"	1	0.00216685	"variable"
431	"H_0426_Diptera_Cecidomyiidae"	1	0.00270856	"variable"
432	"H_0427_Orthoptera_Tettigoniidae"	2	0.000541712	"variable"
437	"H_0433_Hemiptera_Cicadellidae"	2	0.000541712	"herbivorous"
438	"H_0434_Lepidoptera_Geometridae"	5	0.00216685	"herbivorous"
445	"H_0443_Diptera_Pseudolycoriella"	10	0.00108342	"detritivorous"
447	"H_0445_Lepidoptera_Noctuidae"	3	0.000541712	"herbivorous"
457	"H_0457_Hemiptera_Empoascanara"	2	0.00216685	"herbivorous"
462	"H_0462_Hymenoptera_Formicidae"	1	0.00325027	"predatory/parasitic"
464	"H_0465_Diptera_Forcipomyia"	1	0.000541712	"predatory/parasitic"
466	"H_0467_Hymenoptera_Formicidae"	1	0.000541712	"predatory/parasitic"
468	"H_0469_Lepidoptera_Lepidoptera"	7	0.00162514	"unidentified"
469	"H_0470_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
472	"H_0473_Hemiptera_Cicadellidae"	10	0.00216685	"herbivorous"
475	"H_0476_Diptera_Diptera"	3	0.00108342	"unidentified"
479	"H_0480_Diptera_Diptera"	3	0.00866739	"unidentified"
485	"H_0487_Collembola_Homidia"	1	0.00162514	"detritivorous"
489	"H_0491_Hemiptera_Peirates"	3	0.000541712	"predatory/parasitic"
490	"H_0492_Diptera_Diptera"	1	0.000541712	"unidentified"
494	"H_0497_Lepidoptera_Ostrinia"	2	0.000541712	"herbivorous"
502	"H_0505_Lepidoptera_Crambidae"	5	0.000541712	"herbivorous"
504	"H_0507_Lepidoptera_Crambidae"	2	0.000541712	"herbivorous"
505	"H_0508_Diptera_Cecidomyiidae"	2	0.00108342	"variable"
510	"H_0513_Diptera_Cecidomyiidae"	5	0.00325027	"variable"
519	"H_0522_Lepidoptera_Pelopidas.mathias"	3	0.00270856	"herbivorous"
523	"H_0527_Diptera_Diptera"	2	0.000541712	"unidentified"
524	"H_0528_Diptera_Tipulidae"	6	0.00108342	"herbivorous"
530	"H_0534_Diptera_Cecidomyiidae"	4	0.000541712	"variable"
534	"H_0538_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
545	"H_0550_Diptera_Cricotopus"	2	0.00162514	"detritivorous"
552	"H_0557_Neuroptera_Neuroptera"	1	0.000541712	"unidentified"
559	"H_0565_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
560	"H_0566_Diptera_Megaselia"	1	0.00216685	"variable"
565	"H_0571_Lepidoptera_Noctuidae"	1	0.00162514	"herbivorous"
576	"H_0588_Hemiptera_Hemiptera"	1	0.000541712	"unidentified"
585	"H_0598_Diptera_Cecidomyiidae"	11	0.000541712	"variable"
590	"H_0603_Diptera_Chironomidae"	3	0.00162514	"detritivorous"
594	"H_0609_Coleoptera_Coleoptera"	1	0.000541712	"unidentified"
596	"H_0611_Hymenoptera_Halictidae"	3	0.000541712	"herbivorous"
604	"H_0620_Lepidoptera_Lepidoptera"	1	0.000541712	"unidentified"
618	"H_0637_Diptera_Phoridae"	1	0.000541712	"variable"
621	"H_0644_Hemiptera_Aleyrodidae"	3	0.000541712	"herbivorous"
626	"H_0649_Diptera_Neoplatyura"	1	0.000541712	"detritivorous"
627	"H_0650_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
